APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8130689,m,w,"7906684,8130682,8121482,8121483,8121484","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"7874550,7874612,7647458,7650379,7647457","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10153610,9904310,9360740,9360820,9360837","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7701551,8376123,8377858,8377863,8377864","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8339476,8465277,7744586,8065940,7904165","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10059964,10641808,10220974,10220973,10220972","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10179379,9687700,9687708,9687707,9942433","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9978595,9172099,9755289,9755283,9755281","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8712537,7768331,8298979,8289467,8432355","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9986905,10569075,10569078,10569080,10569082","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10479040,10479093,10319313,10694859,10689241","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9323467,9707827,9707838,9709320,9337469","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10228875,10076809,9921121,10322715,10650136","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9336090,9193833,9347270,9337386,9347271","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10476504,10690625,10683213,10683215,10690008","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9402661,8991162,9198060,9292382,9201331","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"10267723,10684730,10117747,10465187,9532567","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"10526102,10526103,10526101,10729388,10525593","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9255144,9671917,9903339,9903343,9903344","None,None,None,None,None","None,None,None,None,None"
