APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_p_w,APPVAL_RECS_bert-x_p_w,FOA_RECS_bert-x_p_w
10134972,f,w,"9869047,9320071,9565687,10177830,10134972","922500.0,937500.0,937500.0,869999.9999999999,869999.9999999999","RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10219251,10017222,9831503,10421390,9831424","232000.0,246000.0,246000.0,535000.0,615000.0","RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-023,RFA-AG-19-022,RFA-AG-19-022"
8535751,m,w,"8715797,8527771,8728845,8911299,8911300","66500.0,67500.0,66500.0,66500.0,66500.0","RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006,RFA-DK-11-006"
7959773,f,w,"8289977,8975867,8598768,8921689,10225432","19600000.0,5320000.0,23940000.0,23940000.0,1276000.0","RFA-DK-11-501,RFA-DK-14-505,RFA-DK-12-510,RFA-DK-12-510,RFA-DK-17-511"
8769602,m,a,"8370230,8518215,8532795,8529444,8370150","68500.0,67500.0,67500.0,67500.0,68500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
10406304,f,w,"9822752,9598167,9821966,9821365,10056153","369000.0,375000.0,369000.0,369000.0,369000.0","RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004,RFA-DA-18-004"
9987453,f,w,"8959758,9087083,9087118,9269945,9269964","199500.0,196500.0,196500.0,187500.0,187500.0","RFA-AG-15-009,RFA-AG-15-009,RFA-AG-15-009,RFA-AG-15-009,RFA-AG-15-009"
9525273,m,w,"8518235,8719924,8403858,8408897,8516458","202500.0,199500.0,205500.00000000003,205500.00000000003,202500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
10541697,m,h,"8639741,9130298,8640299,8735924,9120848","337500.0,327500.0,337500.0,332500.0,327500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
8856535,m,w,"8641735,8822937,8307769,8448656,8209570","1330000.0,1330000.0,1370000.0,1350000.0,1400000.0","RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020"
7886873,m,w,"10226692,10612714,10085516,10085116,10083992","261000.0,412000.0,464000.0,464000.0,464000.0","RFA-HD-21-007,RFA-CA-19-064,RFA-CA-19-064,RFA-CA-19-064,RFA-CA-19-064"
10488630,f,a,"10657373,10451785,10689710,10689704,10689677","561350.0,583150.0,561350.0,561350.0,561350.0","RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002"
9137625,f,w,"9932773,9932087,9933445,9933416,9933326","369000.0,369000.0,369000.0,369000.0,369000.0","RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018,RFA-FD-19-018"
8085924,m,w,"9545013,8901503,8899681,9102782,9102773","3750000.0,3990000.0,3990000.0,3930000.0,3930000.0","RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016"
9485284,m,w,"7897769,8543117,7691402,7692188,7691839","360000.0,342500.0,365000.0,365000.0,365000.0","RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008,RFA-RM-08-008"
8070326,m,w,"9488800,9736216,9386954,9089998,9488811","375000.0,369000.0,393000.0,393000.0,375000.0","RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026"
8068031,f,w,"8150834,8411935,8152004,8152817,8152889","350000.0,337500.0,350000.0,350000.0,350000.0","RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001,RFA-MD-11-001"
9961343,m,w,"8459070,8724968,8459732,8459703,8460449","411000.00000000006,399000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10488603,10044052,10044534,10044535,10044536","856000.0,984000.0,984000.0,984000.0,984000.0","RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034,RFA-CA-19-034"
9150566,m,w,"10179392,10406359,10673074,10690636,10874947","869999.9999999999,802500.0,772500.0,772500.0,772500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
10478136,m,w,"10264856,10266091,9803946,9803940,9803931","1160000.0,1160000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"8477358,8477355,8412142,8658198,8472824","342500.0,342500.0,342500.0,342500.0,342500.0","RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046,RFA-AI-11-046"
8309064,f,w,"9171450,9172553,9171895,9172536,9172626","1375000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
10744343,f,a,"8722152,8792844,8722290,8845185,8828159","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006,RFA-DA-14-006"
10116708,f,w,"9061776,8391971,8656769,8656795,8656768","196500.0,205500.00000000003,199500.0,199500.0,199500.0","RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008"
9080334,m,w,"8306120,8479320,8532646,8532647,8475566","548000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"8733305,8295043,8551298,8551301,8551306","1350000.0,1370000.0,1350000.0,1350000.0,1350000.0","RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011"
9114017,m,h,"9894714,9285906,10134993,10134996,10134998","615000.0,625000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8473682,8433425,8264372,8292084,8242686","675000.0,675000.0,685000.0,685000.0,685000.0","RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003,RFA-EB-08-003"
8468754,f,w,"10618316,10426961,10361065,10663116,9782222","535600.0,556400.0,127330.0,122570.0,146370.0","RFA-HL-22-007,RFA-HL-22-007,RFA-HL-19-024,RFA-HL-19-024,RFA-HL-19-024"
7737637,m,w,"8868913,8704267,8870288,8856127,8409958","199500.0,199500.0,199500.0,199500.0,205500.00000000003","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
8664703,m,w,"8268769,8838982,7878914,7878905,7878910","685000.0,3103332.89,3406666.18,3406666.18,3406666.18","RFA-RR-11-004,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"8380048,8380615,8141267,8141266,8141265","1370000.0,1370000.0,1440000.0,1440000.0,1440000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
8130689,m,w,"7938945,8228156,7791184,7791636,7792581","360000.0,350000.0,365000.0,365000.0,365000.0","RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005,RFA-GM-09-005"
10495240,m,w,"8551682,8607976,9010966,8431983,9211357","664998.67,664998.67,654998.6900000001,674998.65,624998.75","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9787108,m,w,"10134971,9360820,9904310,9926785,9926786","290000.0,312500.0,307500.0,307500.0,307500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"8093669,7915850,7653633,7669429,7677956","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019"
10359813,m,w,"7905073,8521331,7913060,7878704,7892952","720000.0,675000.0,720000.0,720000.0,720000.0","RFA-HD-08-003,RFA-HD-08-003,RFA-HD-08-003,RFA-HD-08-003,RFA-HD-08-003"
9753241,m,w,"8239659,8466740,8876690,8876691,8862472","1680000.0,1620000.0,1596000.0,1596000.0,1596000.0","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
8659443,m,w,"10698043,10354268,10353539,10353538,10353537","1802500.0,1872500.0,1872500.0,1872500.0,1872500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9706081,f,a,"10266123,10092367,10677987,10683504,10266124","579998.84,614998.77,534998.93,534998.93,579998.84","RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017"
8698446,m,w,"9114642,8951512,9747330,9324029,9533890","352390.0,357770.0,330870.0,336250.0,336250.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"10731695,10584259,10583235,10583849,10582012","154500.0,412000.0,412000.0,412000.0,412000.0","RFA-OD-22-015,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004,RFA-AG-23-004"
9527838,m,w,"9674261,9784662,9558641,9413012,9558600","625000.0,625000.0,4125000.0,4125000.0,4125000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057"
9994751,m,w,"10452011,10450922,10452292,10451254,10451169","107000.0,107000.0,107000.0,107000.0,107000.0","RFA-RM-21-012,RFA-RM-21-012,RFA-RM-21-012,RFA-RM-21-012,RFA-RM-21-012"
10216205,m,w,"10701248,10701483,10701247,10701255,10701256","746750.0,746750.0,746750.0,746750.0,746750.0","RFA-CA-22-040,RFA-CA-22-040,RFA-CA-22-040,RFA-CA-22-040,RFA-CA-22-040"
9355575,m,w,"8930938,9537434,8789615,8790208,9315475","1330000.0,1250000.0,1330000.0,1330000.0,1310000.0","RFA-CA-13-015,RFA-CA-13-015,RFA-CA-13-015,RFA-CA-13-015,RFA-CA-13-015"
8874375,m,w,"10392981,10618178,10609100,10609095,10609094","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
8132845,m,w,"7869504,7911439,7658150,7649268,7882327","292000.0,292000.0,438000.0,438000.0,432000.0","RFA-NS-07-004,RFA-NS-07-004,RFA-DA-06-008,RFA-DA-06-008,RFA-DA-06-008"
9561922,m,w,"7880349,7665031,7662466,7668684,7677984","219000.0,219000.0,219000.0,219000.0,219000.0","RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007,RFA-HL-07-007"
8710052,m,w,"9352804,9546642,10631927,10439370,9627645","1000000.0,1000000.0,772500.0,802500.0,2812500.0","RFA-CA-15-021,RFA-CA-15-021,RFA-CA-21-023,RFA-CA-21-023,RFA-CA-17-034"
10116392,f,w,"8913590,8433122,8432962,8433149,8433134","997500.0,685000.0,685000.0,685000.0,675000.0","RFA-ES-14-005,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004"
9552433,m,b,"9119535,8919722,8784175,8914169,8391950","1205200.0,1223600.0,1223600.0,1223600.0,1260400.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"10070100,9646359,10316999,9832193,10129530","57999.99999999999,61500.0,53500.0,61500.0,61500.0","RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011"
7691839,f,w,"8152529,8306346,8318269,8599512,7647008","1008000.0,959000.0,959000.0,945000.0,1022000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
7914250,m,w,"7687445,7688130,8143810,7902079,7903215","292000.0,292000.0,288000.0,288000.0,288000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
8903741,f,w,"7694378,7881980,8127697,7919509,7924910","730000.0,730000.0,700000.0,720000.0,1095000.0","RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-06-006"
10207339,m,a,"9059547,8831574,8667067,8733146,8733147","655000.0,665000.0,665000.0,665000.0,665000.0","RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003"
10302868,f,w,"8368840,8367812,8532795,8529444,8518213","68500.0,68500.0,67500.0,67500.0,67500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
8070452,m,w,"9137888,9140446,9137887,9142747,9142674","327500.0,327500.0,327500.0,327500.0,327500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9551105,m,w,"8800580,8554931,8554393,8806614,8472329","266000.0,266000.0,266000.0,266000.0,274000.0","RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010"
10223141,f,w,"8874104,8885651,8882257,8766909,8768636","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
10573185,m,w,"10080010,10405579,10079368,10086753,10341323","310121.13,269780.17000000004,310121.13,310121.13,292471.96","RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005"
9257399,f,w,"10453433,10016316,10200814,10176498,10176497","1605000.0,1845000.0,1739999.9999999998,1739999.9999999998,1739999.9999999998","RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012,RFA-ES-18-012"
8518235,f,w,"9609262,9748426,10423663,9975693,10458119","625000.0,615000.0,580000.0,615000.0,535000.0","RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013,RFA-AI-17-013"
8318381,m,w,"8829321,8843054,8651533,9041666,9042419","332500.0,332500.0,332500.0,327500.0,327500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"10483185,9812105,10470432,9975112,7931242","695500.0,799500.0,754000.0,799500.0,328500.0","RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-GM-07-003"
8120588,m,w,"9323489,9757795,9563295,8990689,9105753","1375000.0,1353000.0,1375000.0,1463000.0,1441000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"9355669,9229425,9544713,9544728,9544729","1000000.0,1048000.0,1000000.0,1000000.0,1000000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"8534116,8402798,8546380,8551666,8545839","405000.0,411000.00000000006,405000.0,405000.0,405000.0","RFA-DK-11-024,RFA-DK-11-024,RFA-DK-11-024,RFA-DK-11-024,RFA-DK-11-024"
7691735,f,w,"8390913,8387986,8389405,8534229,8508998","376750.00000000006,376750.00000000006,376750.00000000006,371250.0,371250.0","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"9303204,9512590,9503633,9049946,9049927","250000.0,250000.0,250000.0,266000.0,266000.0","RFA-MD-15-005,RFA-MD-15-005,RFA-MD-15-005,RFA-MD-15-005,RFA-MD-15-005"
9527152,m,a,"9130927,9221318,9301840,9020156,9019340","294750.0,281250.0,294750.0,299250.0,299250.0","RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006"
10217030,f,w,"9623982,9935976,9747383,10744578,10744678","281250.0,276750.0,276750.0,1030000.0,1030000.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-22-190,RFA-MH-22-190"
10104482,m,a,"9260968,9135690,9266776,8837714,9264580","665000.0,665000.0,655000.0,332500.0,312500.0","RFA-DK-14-023,RFA-DK-14-023,RFA-DK-14-023,RFA-MH-14-170,RFA-MH-14-170"
8787984,m,w,"9444681,10064123,10316230,10336440,9815958","375000.0,348000.0,321000.0,321000.0,369000.0","RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079"
7921782,f,b,"10595133,10595896,9812311,9177874,9319816","1070000.0,1070000.0,3000000.0,3144000.0,3000000.0","RFA-NS-22-037,RFA-NS-22-037,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9222148,f,w,"10307397,10307483,10532212,10533758,10533765","535000.0,535000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
9674467,m,w,"10352970,10700804,10698058,10698065,10700798","1872500.0,1802500.0,1802500.0,1802500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9273611,m,w,"10375033,10374385,10570855,10570228,10552045","535000.0,535000.0,515000.0,515000.0,515000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"9111952,9517964,9745313,9747101,9751091","412650.0,393750.0,387450.0,387450.0,387450.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"9617241,9883012,9883015,9883016,9883018","922500.0,922500.0,922500.0,922500.0,922500.0","RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012,RFA-DK-14-012"
10241405,m,w,"7961475,7896944,8173838,8173837,7924178","73000.0,73000.0,72000.0,72000.0,72000.0","RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
8300031,f,w,"8321903,8138267,8138172,8138112,8321540","685000.0,700000.0,700000.0,700000.0,685000.0","RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026,RFA-HL-11-026"
9339325,f,h,"8281930,8282588,8282018,8282267,8473069","700000.0,700000.0,700000.0,700000.0,685000.0","RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8814164,m,w,"9823828,9613203,9186979,9188043,9182863","369000.0,369000.0,375000.0,375000.0,375000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"10442059,10596633,10658686,9242600,9257274","321000.0,309000.0,309000.0,1875000.0,1875000.0","RFA-AI-21-020,RFA-AI-21-020,RFA-AI-21-020,RFA-AI-12-048,RFA-AI-12-048"
9672444,f,h,"9562090,10179394,10172905,10874947,10690636","937500.0,869999.9999999999,869999.9999999999,772500.0,772500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
8672569,m,w,"9762771,9337327,9321101,9352740,9325403","1353000.0,1375000.0,1375000.0,1375000.0,1375000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
9688831,f,w,"9146370,9772522,9536058,9543510,9146664","458500.0,430500.0,437500.0,437500.0,458500.0","RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001"
10374944,m,w,"7904209,7915850,7918558,7846585,7849855","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019,RFA-AI-05-019"
10208856,m,h,"9762081,9573392,10408187,9938321,9978039","246000.0,250000.0,267500.0,307500.0,307500.0","RFA-DE-18-006,RFA-DE-18-006,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005"
10197904,m,a,"10729390,9334851,8813276,9336385,9352415","618000.0,1250000.0,1330000.0,1310000.0,1310000.0","RFA-DK-22-009,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013"
8520046,m,w,"10747205,9406037,9965956,9405262,9405265","123600.0,625000.0,615000.0,625000.0,625000.0","RFA-HD-23-027,RFA-HD-17-007,RFA-HD-17-007,RFA-HD-17-007,RFA-HD-17-007"
