APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bluebert_o_w,APPVAL_RECS_bluebert_o_w,FOA_RECS_bluebert_o_w
8856535,m,w,"8625733,8094511,8233428,8471436,8233452","997500.0,1050000.0,1027500.0,1027500.0,1027500.0","RFA-DA-10-010,RFA-DA-10-010,RFA-DA-10-010,RFA-DA-10-010,RFA-DA-10-010"
7886873,m,w,"7934416,7935585,7934406,7934228,7935511","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-RR-09-007,RFA-RR-09-007,RFA-RR-09-007,RFA-RR-09-007,RFA-RR-09-007"
10488630,f,a,"8758050,9824222,9823404,10016163,9985200","332500.0,246000.0,246000.0,246000.0,246000.0","RFA-AG-14-012,RFA-MH-19-511,RFA-MH-19-511,RFA-MH-19-511,RFA-MH-19-511"
9137625,f,w,"9546414,9748854,9137623,9137625,9137626","187500.0,184500.0,196500.0,196500.0,196500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"10238149,10619606,10062127,10410465,8137028","812000.0,721000.0,861000.0,749000.0,1050000.0","RFA-HD-20-001,RFA-HD-20-001,RFA-HD-20-001,RFA-HD-20-001,RFA-HD-09-004"
9485284,m,w,"8892720,8892721,10150748,10150746,10150744","21945000.0,21945000.0,19140000.0,19140000.0,19140000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
8070326,m,w,"7672149,8442372,8442358,8437253,8442374","438000.0,405000.0,405000.0,405000.0,405000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
8068031,f,w,"7886740,8077440,8377033,8338975,8377031","1387000.0,1368000.0,1301500.0,1301500.0,1301500.0","RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
9961343,m,w,"8326512,8281930,8282267,8473069,8326509","685000.0,700000.0,700000.0,685000.0,685000.0","RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8870884,m,h,"10740364,10630593,10631646,10707213,9477371","515000.0,535000.0,515000.0,515000.0,312500.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-13-008"
9150566,m,w,"8994292,9222023,9023567,8998961,8799017","327500.0,312500.0,327500.0,327500.0,332500.0","RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011,RFA-GM-14-011"
10478136,m,w,"8545225,8734648,7938718,8150047,8379002","1687500.0,1687500.0,1800000.0,1800000.0,1712500.0000000002","RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002,RFA-OD-08-002"
10343347,m,w,"7927824,7897216,7487362,9950456,10576343","292000.0,292000.0,292000.0,922500.0,772500.0","RFA-AI-07-008,RFA-AI-07-008,RFA-AI-07-008,RFA-AI-19-011,RFA-AI-19-011"
8309064,f,w,"9105617,9514733,9514748,9514726,9514736","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"9517828,9428504,9120641,9120622,9120568","1250000.0,1250000.0,1310000.0,1310000.0,1310000.0","RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003,RFA-DA-16-003"
10116708,f,w,"8685321,8875051,8677968,8693011,8677970","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-HL-12-033,RFA-HL-12-033,RFA-HL-12-033,RFA-HL-12-033,RFA-HL-12-033"
9080334,m,w,"9968022,9968015,9313208,9281685,9323319","615000.0,615000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7959811,f,h,"8167472,8056024,8359581,8359582,8129510","288000.0,280000.0,280000.0,280000.0,280000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9114017,m,h,"9221246,9613771,8819856,8819920,9444338","625000.0,615000.0,665000.0,665000.0,625000.0","RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001,RFA-AI-14-001"
8380038,m,w,"8829975,9061684,8935844,8935841,9532882","266000.0,262000.0,266000.0,266000.0,250000.0","RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009,RFA-HG-14-009"
8468754,f,w,"8082279,8083216,8082090,8289434,8289429","1400000.0,1400000.0,1400000.0,1370000.0,1370000.0","RFA-HL-11-019,RFA-HL-11-019,RFA-HL-11-019,RFA-HL-11-019,RFA-HL-11-019"
7737637,m,w,"7927151,8131604,7929510,8309071,7914844","216000.0,210000.0,216000.0,205500.00000000003,219000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
8664703,m,w,"7876992,8365088,7759019,7961834,7942366","6840000.0,6650000.0,6935000.0,6935000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"7912418,8079051,7917330,7869255,7796669","365000.0,350000.0,360000.0,360000.0,360000.0","RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"7906682,8142228,8144380,8144381,8144382","109500.0,108000.0,108000.0,108000.0,108000.0","RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001"
10495240,m,w,"10810993,10316144,10315914,10313728,10472632","214000.0,232000.0,232000.0,232000.0,214000.0","RFA-HD-21-030,RFA-HD-21-030,RFA-HD-21-030,RFA-HD-21-030,RFA-HD-21-030"
9787108,m,w,"9555305,10514064,10701771,9527729,9904310","375000.0,535000.0,515000.0,312500.0,307500.0","RFA-AG-17-056,RFA-AG-22-019,RFA-AG-22-019,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"8037614,8378791,7672070,7672018,7672012","432000.0,411000.00000000006,438000.0,438000.0,438000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
10359813,m,w,"10421064,10652559,10643965,10631143,10626123","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242"
9753241,m,w,"9340220,9149256,9552155,9149258,9552811","875000.0,917000.0,875000.0,917000.0,875000.0","RFA-ES-14-009,RFA-ES-14-009,RFA-ES-14-009,RFA-ES-14-009,RFA-ES-14-009"
8659443,m,w,"9921556,9041611,9542426,9247942,9247939","184500.0,196500.0,187500.0,187500.0,187500.0","RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001"
9706081,f,a,"8100406,7893084,7898788,7898787,7898786","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
8698446,m,w,"9533890,8951512,9324029,9114642,9747330","336250.0,357770.0,336250.0,352390.0,330870.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"10556974,10707151,10707134,10707132,10707131","267500.0,257500.0,257500.0,257500.0,257500.0","RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002"
9527838,m,w,"8554392,8703828,8984906,8970729,9068744","1350000.0,1330000.0,1310000.0,1310000.0,1310000.0","RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006,RFA-RM-11-006"
9994751,m,w,"7841512,8109216,7845179,7842432,7839761","730000.0,700000.0,730000.0,730000.0,730000.0","RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001"
10216205,m,w,"10632021,10446751,10447513,10630956,7691720","1030000.0,1070000.0,1070000.0,1030000.0,1752000.0","RFA-TR-21-001,RFA-TR-21-001,RFA-TR-21-001,RFA-TR-21-001,RFA-RM-06-007"
9355575,m,w,"9337098,9567509,9336574,9335327,9337385","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"8977657,10318464,10319759,10319778,10692559","11970000.0,267500.0,267500.0,267500.0,257500.0","RFA-DK-14-507,RFA-DK-20-504,RFA-DK-20-504,RFA-DK-20-504,RFA-DK-20-504"
8132845,m,w,"9693325,9193254,9494707,9505994,9506825","492000.0,524000.0,500000.0,500000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
9561922,m,w,"8522266,7846445,7846264,7846059,7846716","665000.0,730000.0,730000.0,730000.0,730000.0","RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001"
8710052,m,w,"8710085,8726310,8380725,8382473,8710063","4320000.0,4256000.0,4384000.0,4384000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"9675293,9260648,9542622,9259581,9257897","2152500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"9949762,10206226,9571117,9567474,9565625","307500.0,267500.0,312500.0,312500.0,312500.0","RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016"
8907762,m,h,"9135351,8907764,8598968,8907763,8626072","393000.0,399000.0,405000.0,399000.0,405000.0","RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009,RFA-DK-12-009"
7691839,f,w,"9750775,10229469,10238081,10237988,10237895","307500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
7914250,m,w,"9454195,9636460,9629956,9859216,9854875","500000.0,492000.0,492000.0,492000.0,492000.0","RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078"
8903741,f,w,"7651392,7629810,7936516,7901642,10022080","1460000.0,1460000.0,1460000.0,1440000.0,615000.0","RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-19-005"
10207339,m,a,"10134969,10019215,9757648,9670043,9346645","232000.0,246000.0,246000.0,246000.0,250000.0","RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002"
10302868,f,w,"9334045,9154487,9153169,9344529,9320966","250000.0,262000.0,262000.0,250000.0,250000.0","RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013,RFA-AG-16-013"
8070452,m,w,"9469469,10012466,8680575,8679547,8680659","312500.0,307500.0,332500.0,332500.0,332500.0","RFA-AI-12-059,RFA-AI-12-059,RFA-AI-12-059,RFA-AI-12-059,RFA-AI-12-059"
9551105,m,w,"8934240,9329503,9564992,9551706,9564998","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-NS-14-003,RFA-NS-14-003,RFA-NS-14-003,RFA-NS-14-003,RFA-NS-14-003"
10223141,f,w,"9517713,9316527,9313779,9316530,9313775","3750000.0,3750000.0,3750000.0,3750000.0,3750000.0","RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023"
10573185,m,w,"8229227,8335408,8514609,8514610,8229848","280000.0,274000.0,270000.0,270000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9257399,f,w,"10015282,9814451,9814449,10176493,10176491","861000.0,861000.0,861000.0,812000.0,812000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
8518235,f,w,"8705846,9038249,9263887,8843779,9462040","199500.0,196500.0,187500.0,199500.0,187500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-15-019"
8318381,m,w,"8055071,8055231,8053940,8054107,8056155","720000.0,720000.0,720000.0,720000.0,720000.0","RFA-HS-10-010,RFA-HS-10-010,RFA-HS-10-010,RFA-HS-10-010,RFA-HS-10-010"
9071539,m,w,"8528574,8525084,8152218,8150900,8150902","337500.0,337500.0,350000.0,350000.0,350000.0","RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022,RFA-RM-09-022"
8120588,m,w,"10065443,10663912,10264955,10264953,10264952","615000.0,515000.0,580000.0,580000.0,580000.0","RFA-HD-20-002,RFA-HD-20-002,RFA-HD-20-002,RFA-HD-20-002,RFA-HD-20-002"
9548127,m,w,"10450731,10450730,10451569,10451568,10451567","856000.0,856000.0,856000.0,856000.0,856000.0","RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009"
7858033,m,w,"8320216,8536794,7789192,8141235,7932712","685000.0,675000.0,730000.0,700000.0,720000.0","RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004,RFA-DK-09-004"
7691735,f,w,"9549142,9542390,9694731,9403965,9403567","281250.0,281250.0,276750.0,281250.0,281250.0","RFA-MH-17-560,RFA-MH-17-560,RFA-MH-17-560,RFA-MH-17-560,RFA-MH-17-560"
8789173,m,h,"8465082,9015436,8624691,8822291,8509686","54800.00000000001,52400.0,53200.0,53200.0,54000.0","RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005,RFA-DK-12-005"
9527152,m,a,"9527124,9775236,8927806,8927908,8927223","468750.0,461250.0,498750.0,498750.0,498750.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10217030,f,w,"10217030,10091323,10475677,10250532,10213689","261000.0,276750.0,535000.0,580000.0,580000.0","RFA-MH-20-521,RFA-MH-20-521,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"8897539,9689077,9468343,9462624,9468349","1995000.0,1845000.0,1875000.0,1875000.0,1875000.0","RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004,RFA-AI-14-004"
8787984,m,w,"9133266,9225178,9133265,9012763,9012764","655000.0,625000.0,655000.0,655000.0,655000.0","RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002"
7921782,f,b,"8704997,8896856,8846655,8367956,8367980","99750.0,99750.0,99750.0,102750.0,102750.0","RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030"
9222148,f,w,"9222148,9432540,9581898,10445226,9962419","250000.0,250000.0,312500.0,267500.0,307500.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-16-004,RFA-ES-16-004,RFA-ES-16-004"
9674467,m,w,"8263076,8263100,8262926,8263109,8262908","2466000.0,2466000.0,2466000.0,2466000.0,2466000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9273611,m,w,"8883721,9097801,8911373,8918242,8903938","532000.0,524000.0,532000.0,532000.0,532000.0","RFA-MH-13-080,RFA-MH-13-080,RFA-MH-13-080,RFA-MH-13-080,RFA-MH-13-080"
10480740,m,w,"8053904,7903621,8508276,8055369,8053855","616000.0,633600.0,594000.0,616000.0,616000.0","RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026"
10361543,f,h,"8334774,8464064,9132224,9071406,9071409","205500.00000000003,202500.0,196500.0,196500.0,196500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"10475828,10021043,9918030,9918029,9918028","10432500.0,11992500.0,11992500.0,11992500.0,11992500.0","RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012"
8300031,f,w,"10705412,9811036,10026440,10363610,10718170","433350.0,498150.0,469800.0,433350.0,257500.0","RFA-HL-18-031,RFA-HL-18-031,RFA-HL-18-031,RFA-HL-18-031,RFA-HL-23-019"
9339325,f,h,"10829093,10828283,10831322,10831173,10830615","581950.0,581950.0,581950.0,581950.0,581950.0","RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027"
8814164,m,w,"10536594,9625479,9852954,10534661,10451560","772500.0,922500.0,922500.0,772500.0,772500.0","RFA-AI-17-026,RFA-AI-17-026,RFA-AI-17-026,RFA-AI-17-026,RFA-AI-17-026"
7924122,f,w,"10704819,10704325,7646359,7452748,8079597","772500.0,772500.0,438000.0,438000.0,420000.0","RFA-AI-22-037,RFA-AI-22-037,RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003"
9672444,f,h,"10388185,9672443,9677068,9677067,9677065","1070000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003,RFA-ES-17-003"
8672569,m,w,"8514262,8455304,8469382,8467981,8467980","1027500.0,1050000.0,1012500.0,1050000.0,1050000.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
9688831,f,w,"10051557,10148796,10200875,10050801,10137988","246000.0,232000.0,232000.0,246000.0,214000.0","RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007,RFA-HD-20-007"
10374944,m,w,"8929551,10153663,9100651,9100656,9100653","159600.0,139200.0,157200.0,157200.0,157200.0","RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007,RFA-AI-14-007"
10208856,m,h,"9938321,9573423,9573420,9729921,9756189","307500.0,312500.0,312500.0,312500.0,307500.0","RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005"
10197904,m,a,"8050571,7908054,7587324,7591095,7587374","1750000.0,1825000.0,1825000.0,1825000.0,1825000.0","RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014,RFA-DK-06-014"
8520046,m,w,"10226638,10618172,10377526,10377559,10377560","145000.0,128750.0,133750.0,133750.0,133750.0","RFA-HD-21-010,RFA-HD-21-010,RFA-HD-21-010,RFA-HD-21-010,RFA-HD-21-010"
