APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
10217030,f,w,"10375585,10472519,10584495,10227320,10235566","240750.0,240750.0,231750.0,261000.0,261000.0","RFA-DA-21-001,RFA-DA-21-001,RFA-DA-21-001,RFA-DA-21-001,RFA-DA-21-001"
10104482,m,a,"9000120,8794412,9213339,8509163,8617223","982500.0,997500.0,937500.0,1012500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8787984,m,w,"9225174,9428425,9654668,9654673,9654678","625000.0,625000.0,615000.0,615000.0,615000.0","RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002"
7921782,f,b,"8726574,8727875,8725922,8727839,8727877","239400.0,239400.0,239400.0,239400.0,239400.0","RFA-HS-14-002,RFA-HS-14-002,RFA-HS-14-002,RFA-HS-14-002,RFA-HS-14-002"
9222148,f,w,"9432540,9222148,9355715,10241453,9355724","250000.0,250000.0,1250000.0,1160000.0,1250000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-OD-16-004,RFA-OD-16-004,RFA-OD-16-004"
9674467,m,w,"8257217,8659420,8840236,8840248,8840241","2466000.0,2394000.0,2394000.0,2394000.0,2394000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9273611,m,w,"8060634,7882620,7642997,9985203,9827920","315000.0,324000.0,328500.0,246000.0,246000.0","RFA-MH-09-020,RFA-MH-09-020,RFA-MH-09-020,RFA-MH-19-240,RFA-MH-19-240"
10480740,m,w,"8991817,9305111,9113051,9113060,9111952","418950.0,393750.0,412650.0,412650.0,412650.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"9242620,9024508,9024510,9024507,9024511","937500.0,982500.0,982500.0,982500.0,982500.0","RFA-DK-11-022,RFA-DK-11-022,RFA-DK-11-022,RFA-DK-11-022,RFA-DK-11-022"
10241405,m,w,"9991942,9535520,9775495,9355480,9271613","922500.0,937500.0,922500.0,937500.0,982500.0","RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019"
8300031,f,w,"9772981,9952320,9970196,10176416,10196945","369000.0,369000.0,369000.0,348000.0,348000.0","RFA-AR-18-002,RFA-AR-18-002,RFA-AR-18-002,RFA-AR-18-002,RFA-AR-18-002"
9339325,f,h,"9344536,9274534,8692140,8889423,8675379","375000.0,393000.0,405000.0,399000.0,405000.0","RFA-FD-16-032,RFA-FD-16-032,RFA-FD-13-006,RFA-FD-13-006,RFA-FD-13-006"
8814164,m,w,"8689899,9188040,9283316,9204368,8474351","997500.0,937500.0,937500.0,937500.0,1012500.0","RFA-AI-12-017,RFA-AI-12-017,RFA-AI-12-017,RFA-AI-12-017,RFA-AI-12-017"
7924122,f,w,"7675668,8036019,8036017,8036016,8036015","438000.0,432000.0,432000.0,432000.0,432000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
9672444,f,h,"9084553,8622104,8899535,8622099,8619191","1048000.0,1064000.0,1064000.0,1064000.0,1064000.0","RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002,RFA-ES-13-002"
8672569,m,w,"9170762,9318439,9326887,9337329,9330046","1441000.0,1375000.0,1375000.0,1375000.0,1375000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
9688831,f,w,"8120694,8134780,8134765,7929921,8134471","1080000.0,1080000.0,1080000.0,1080000.0,1080000.0","RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003"
10374944,m,w,"10592414,10592413,10579866,10579867,10579869","154500.0,154500.0,154500.0,154500.0,154500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
