APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_r_w,APPVAL_RECS_biomedbert_r_w,FOA_RECS_biomedbert_r_w
7691735,f,w,"10381143,10495244,10381148,10381147,10381034","1160000.0,1070000.0,1160000.0,1160000.0,1070000.0","RFA-HD-21-023,RFA-HD-21-023,RFA-HD-21-023,RFA-HD-21-023,RFA-HD-21-023"
8789173,m,h,"8899195,9313296,8935888,8935892,8935910","3990000.0,3750000.0,3990000.0,3990000.0,3990000.0","RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016,RFA-RM-13-016"
9527152,m,a,"8904013,8598612,8728858,8728236,8599113","266000.0,270000.0,266000.0,266000.0,270000.0","RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007"
10217030,f,w,"7885322,7880871,7656591,7668578,7667951","360000.0,360000.0,365000.0,365000.0,365000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
10104482,m,a,"9213339,9000120,8617223,8794412,8509163","937500.0,982500.0,997500.0,997500.0,1012500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8787984,m,w,"9637234,9631923,9654673,9654678,9654679","615000.0,625000.0,615000.0,615000.0,615000.0","RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002"
7921782,f,b,"10724213,10724185,10690025,10249356,10696203","234662.84,234662.84,123600.0,139200.0,123600.0","RFA-HL-23-007,RFA-HL-23-007,RFA-HL-20-006,RFA-HL-20-006,RFA-HL-20-006"
9222148,f,w,"8391430,8413786,8311964,9242792,9121570","245000.0,245000.0,245000.0,1310000.0,1310000.0","RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-008,RFA-ES-14-010,RFA-ES-14-010"
9674467,m,w,"9674468,9260440,9260653,9257892,9257894","2152500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"7656817,7805479,8260225,8257947,8321033","511000.0,504000.0,479500.00000000006,479500.00000000006,479500.00000000006","RFA-MH-08-070,RFA-MH-08-070,RFA-MH-08-070,RFA-MH-08-070,RFA-MH-08-070"
10480740,m,w,"10227806,10063806,10063794,10063783,10063744","365400.0,387450.0,387450.0,387450.0,387450.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10361543,f,h,"8665912,8334776,8334771,8366200,8341156","199500.0,205500.00000000003,205500.00000000003,205500.00000000003,205500.00000000003","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"10837461,10837481,9743642,9548717,9635044","412000.0,412000.0,270600.0,275000.0,2250000.0","RFA-FD-23-028,RFA-FD-23-028,RFA-HD-17-001,RFA-HD-17-001,RFA-RM-13-004"
8300031,f,w,"9975609,9975573,9524950,9526215,8711925","307500.0,307500.0,281250.0,281250.0,299250.0","RFA-AR-20-003,RFA-AR-20-003,RFA-AR-18-005,RFA-AR-18-005,RFA-AR-14-005"
9339325,f,h,"9303779,9303775,9109131,9109758,9106121","468750.0,468750.0,498750.0,498750.0,498750.0","RFA-FD-15-020,RFA-FD-15-020,RFA-FD-15-020,RFA-FD-15-020,RFA-FD-15-020"
8814164,m,w,"9476774,9145039,9959307,9146035,9506679","937500.0,982500.0,922500.0,982500.0,937500.0","RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024"
7924122,f,w,"8038341,7672097,7943686,7943688,7676456","432000.0,438000.0,438000.0,438000.0,438000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
9672444,f,h,"7618059,7798138,8245648,7618056,7618050","1460000.0,1440000.0,1370000.0,1460000.0,1460000.0","RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008,RFA-ES-07-008"
8672569,m,w,"9472244,8829110,8829078,8829109,8829097","1250000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
9688831,f,w,"10217221,8549848,8915676,9142995,9096083","232000.0,1012500.0,997500.0,982500.0,982500.0","RFA-HD-20-021,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003"
10374944,m,w,"10134239,10371900,10386778,10386776,10386775","174000.0,160500.0,160500.0,160500.0,160500.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
10208856,m,h,"7667476,7634479,7897908,7907748,10173750","730000.0,730000.0,720000.0,720000.0,290000.0","RFA-DE-06-008,RFA-DE-06-008,RFA-DE-06-008,RFA-DE-06-008,RFA-DE-18-005"
