APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_deberta_r_w,APPVAL_RECS_deberta_r_w,FOA_RECS_deberta_r_w
10744343,f,a,"8106367,8104246,8087592,8087578,8288263","560000.0,560000.0,576000.0,576000.0,548000.0","RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020"
10116708,f,w,"10722847,10369394,10448536,10685290,7901544","360500.0,374500.0,374500.0,360500.0,576000.0","RFA-HL-20-023,RFA-HL-20-023,RFA-HL-20-023,RFA-HL-20-023,RFA-HL-05-013"
9080334,m,w,"8880860,8479320,8532646,8532647,8475566","532000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7925160,7884269,7758406,7758447,7758442","365000.0,360000.0,360000.0,360000.0,360000.0","RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003,RFA-RM-08-003"
9114017,m,h,"8959735,9480206,8960275,8959902,8959800","399000.0,375000.0,399000.0,399000.0,399000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
8380038,m,w,"7886453,7885185,7886939,8077877,8111997","432000.0,432000.0,432000.0,420000.0,420000.0","RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001,RFA-LM-09-001"
8468754,f,w,"7896848,7631353,7654129,7901634,8604915","720000.0,730000.0,730000.0,720000.0,3192000.0","RFA-HL-06-002,RFA-HL-06-002,RFA-HL-06-002,RFA-HL-06-002,RFA-HL-13-013"
7737637,m,w,"8843779,9263887,8705846,9038249,9222699","199500.0,187500.0,199500.0,196500.0,187500.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-14-006"
8664703,m,w,"7679109,7921474,8175548,8175547,7893699","73000.0,72000.0,72000.0,72000.0,72000.0","RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
8377171,m,w,"7848533,7912418,8044806,7673872,7796669","292000.0,365000.0,350000.0,365000.0,360000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"8717686,9129759,9130192,8547084,8547085","66500.0,65500.0,65500.0,67500.0,67500.0","RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018,RFA-RM-11-018"
10495240,m,w,"7796968,7795530,8122356,8132506,7932224","584000.0,584000.0,560000.0,560000.0,576000.0","RFA-AT-09-001,RFA-AT-09-001,RFA-AT-09-001,RFA-AT-09-001,RFA-AT-09-001"
9787108,m,w,"8878151,9085186,8720663,8721317,8707932","266000.0,262000.0,266000.0,266000.0,266000.0","RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007,RFA-AG-13-007"
8036022,m,w,"9829072,9813825,9222222,9222419,9221080","369000.0,369000.0,375000.0,375000.0,375000.0","RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054"
10359813,m,w,"10059029,10643965,10421064,10425350,10449259","1230000.0,1030000.0,1070000.0,1070000.0,1070000.0","RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242,RFA-MH-19-242"
9753241,m,w,"10633197,10682839,10058994,10058951,10058950","721000.0,749000.0,861000.0,861000.0,861000.0","RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003"
8659443,m,w,"8229848,8229227,8514610,8514609,8335408","280000.0,280000.0,270000.0,270000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"9732984,9735601,9914194,9912697,9912695","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002"
8698446,m,w,"9324029,9533890,8951512,9747330,9114642","336250.0,336250.0,357770.0,330870.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"9023346,8712551,8795989,8695480,8927149","327500.0,332500.0,332500.0,332500.0,332500.0","RFA-MD-12-003,RFA-MD-12-003,RFA-MD-12-003,RFA-MD-12-003,RFA-MD-12-003"
9527838,m,w,"10432056,9928881,10450087,9932295,10404992","3531000.0,4059000.0,3531000.0,4059000.0,3531000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
9994751,m,w,"7668001,7826643,7869118,7938406,7938366","511000.0,504000.0,511000.0,511000.0,511000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
10216205,m,w,"8189006,8336846,8332244,8168485,7960525","1050000.0,1027500.0,1027500.0,288000.0,292000.0","RFA-CA-10-013,RFA-CA-10-013,RFA-CA-10-013,RFA-RR-08-007,RFA-RR-08-007"
9355575,m,w,"9336090,9336089,9194209,9193994,9194191","250000.0,250000.0,262000.0,262000.0,262000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"9869885,9644030,9228362,9225190,9225189","8733000.0,8733000.0,8875000.0,8875000.0,8875000.0","RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501,RFA-DK-15-501"
8132845,m,w,"9191207,9192832,9293385,9318598,9313946","524000.0,524000.0,500000.0,500000.0,500000.0","RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004,RFA-NS-16-004"
9561922,m,w,"8068435,8216662,7878517,7886881,7989838","504000.0,490000.0,504000.0,504000.0,504000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
8710052,m,w,"7692251,7695547,8065747,8547016,8379330","1095000.0,1095000.0,1080000.0,4320000.0,4384000.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"10693809,10693053,10351935,10351936,10351937","1802500.0,1802500.0,1872500.0,1872500.0,1872500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9552433,m,b,"10000990,10240493,9949758,9949759,9949762","307500.0,290000.0,307500.0,307500.0,307500.0","RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016,RFA-RM-16-016"
8907762,m,h,"8447834,8037313,8037445,8032920,10571074","616500.0,648000.0,648000.0,648000.0,428000.0","RFA-OD-10-008,RFA-OD-10-008,RFA-OD-10-008,RFA-OD-10-008,RFA-FD-22-001"
7691839,f,w,"8118202,8291433,8523445,7931855,8533716","350000.0,342500.0,342500.0,360000.0,342500.0","RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-08-026"
7914250,m,w,"10677598,10429878,9330326,8134127,9303517","283250.0,294250.0,1441000.0,1584000.0,1441000.0","RFA-HL-22-002,RFA-HL-22-002,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"8653564,8465868,8653563,8309542,8653565","1330000.0,1350000.0,1330000.0,1370000.0,1330000.0","RFA-DA-12-005,RFA-DA-12-005,RFA-DA-12-005,RFA-DA-12-005,RFA-DA-12-005"
10207339,m,a,"9206654,10003117,9554743,10019215,9768291","250000.0,246000.0,250000.0,246000.0,246000.0","RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002"
10302868,f,w,"7895795,7908066,7664374,10108752,10697350","2592000.0,2628000.0,2628000.0,3075000.0,2575000.0","RFA-AG-07-003,RFA-AG-07-003,RFA-AG-07-003,RFA-OD-20-007,RFA-OD-20-007"
8070452,m,w,"10609833,10189480,9730769,9730767,9730766","257500.0,290000.0,307500.0,307500.0,307500.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
9551105,m,w,"9824222,9823404,10016163,9985200,9897091","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-MH-19-511,RFA-MH-19-511,RFA-MH-19-511,RFA-MH-19-511,RFA-MH-19-511"
10223141,f,w,"9022397,9223662,9673609,9433601,8892604","1310000.0,1250000.0,1230000.0,1250000.0,1330000.0","RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055"
10573185,m,w,"8229848,8229227,8514610,8514609,8335408","280000.0,280000.0,270000.0,270000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9257399,f,w,"8799363,9756578,9980397,9024533,9440573","498750.0,468750.0,461250.0,491250.0,468750.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
8518235,f,w,"8306916,7737777,7936261,7914339,7927151","205500.00000000003,219000.0,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
8318381,m,w,"9145739,9145709,8936340,8936260,8588708","524000.0,524000.0,532000.0,532000.0,342500.0","RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-HL-12-027"
9071539,m,w,"7689895,7689899,7689874,7689901,7921800","1095000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012,RFA-HG-07-012"
8120588,m,w,"9323489,9105753,9757795,9563295,8990689","1375000.0,1441000.0,1353000.0,1375000.0,1463000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"9999353,9356536,9356541,9355659,9355685","984000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013,RFA-HD-16-013"
7858033,m,w,"7677825,7676034,7674783,7676082,8054108","1752000.0,1752000.0,1752000.0,1752000.0,1752000.0","RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069,RFA-DP-05-069"
7691735,f,w,"8434398,8554916,8646447,8554311,8879486","1370000.0,1350000.0,1350000.0,1350000.0,1330000.0","RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210"
8789173,m,h,"10254298,10475730,10242850,10037863,10475685","290000.0,267500.0,290000.0,307500.0,267500.0","RFA-RM-19-003,RFA-RM-19-003,RFA-RM-19-003,RFA-RM-19-003,RFA-RM-19-003"
9527152,m,a,"9020144,9130927,9019006,9019340,9019083","294750.0,294750.0,299250.0,299250.0,299250.0","RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006"
10217030,f,w,"10684692,10213689,10680594,10092384,10091568","515000.0,580000.0,515000.0,615000.0,615000.0","RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"10750627,10750083,10756808,10750700,9673609","515000.0,515000.0,515000.0,515000.0,1230000.0","RFA-AI-22-050,RFA-AI-22-050,RFA-AI-22-050,RFA-AI-22-050,RFA-AI-13-055"
8787984,m,w,"10670613,10663034,10662977,10358069,10358379","515000.0,515000.0,515000.0,802500.0,802500.0","RFA-AI-22-016,RFA-AI-22-016,RFA-AI-22-016,RFA-AI-20-057,RFA-AI-20-057"
7921782,f,b,"9262604,9591217,9999013,8948928,9462114","937500.0,922500.0,922500.0,997500.0,937500.0","RFA-HL-15-008,RFA-HL-15-008,RFA-HL-15-008,RFA-HL-15-008,RFA-HL-15-008"
9222148,f,w,"10004913,10208884,10159909,10159261,10136598","61500.0,57999.99999999999,57999.99999999999,57999.99999999999,57999.99999999999","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9674467,m,w,"10707928,10353532,10354274,10354273,10354271","1802500.0,1872500.0,1872500.0,1872500.0,1872500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9273611,m,w,"8499425,8179065,8468014,8460981,8733854","540000.0,560000.0,540000.0,540000.0,540000.0","RFA-MH-11-050,RFA-MH-11-050,RFA-MH-11-050,RFA-MH-11-050,RFA-MH-11-050"
10480740,m,w,"9113412,9297316,9308735,9313136,9297319","412650.0,393750.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"8893053,8882394,8665912,8675842,9132224","199500.0,199500.0,199500.0,199500.0,196500.0","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"10016244,10678643,9940253,10475575,7681786","1624000.0,1442000.0,1722000.0,1498000.0,1460000.0","RFA-FD-19-006,RFA-FD-19-006,RFA-FD-19-006,RFA-FD-19-006,RFA-HS-07-004"
8300031,f,w,"9552703,9552706,9552710,9995112,9994531","312500.0,312500.0,312500.0,307500.0,307500.0","RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008"
9339325,f,h,"9539149,9759658,9561895,8699661,8699644","500000.0,492000.0,500000.0,133000.0,133000.0","RFA-FD-17-011,RFA-FD-17-011,RFA-FD-17-011,RFA-FD-12-027,RFA-FD-12-027"
8814164,m,w,"10326785,10219080,9486073,9486440,9486473","802500.0,869999.9999999999,937500.0,937500.0,937500.0","RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081"
7924122,f,w,"7645273,7643670,8116581,8138539,8103913","438000.0,438000.0,420000.0,420000.0,420000.0","RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001"
9672444,f,h,"10397054,10612382,9724615,9729176,9929600","802500.0,772500.0,922500.0,922500.0,922500.0","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
8672569,m,w,"8876520,8501182,8501216,8501193,8501192","1130500.0,1147500.0,1147500.0,1147500.0,1147500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
9688831,f,w,"10712609,10713757,10712608,10714535,10714534","1545000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-OD-22-014,RFA-OD-22-014,RFA-OD-22-014,RFA-OD-22-014,RFA-OD-22-014"
10374944,m,w,"9994531,9467959,9552706,9552703,9552710","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008,RFA-AR-17-008"
10208856,m,h,"7802165,7840785,8046796,7872830,7642355","360000.0,365000.0,365000.0,360000.0,365000.0","RFA-DE-06-005,RFA-DE-06-005,RFA-DE-06-005,RFA-DE-06-005,RFA-DE-06-005"
10197904,m,a,"7899346,7912360,10907944,10672905,10127340","1131500.0,1131500.0,772500.0,772500.0,922500.0","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-19-023,RFA-DK-19-023,RFA-DK-19-023"
8520046,m,w,"8458888,8368591,8368538,8368535,8368573","202500.0,205500.00000000003,205500.00000000003,205500.00000000003,205500.00000000003","RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020"
