APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
9592088,m,a,"8312652,8147534,8312656,8537432,8537434","102750.0,108000.0,102750.0,101250.0,101250.0","RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015,RFA-DK-08-015"
10008967,m,w,"10712152,10712148,10712149,10712150,10712151","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001"
10134972,f,w,"8210246,8210319,8333352,8209365,8339413","280000.0,280000.0,274000.0,274000.0,274000.0","RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010"
8988958,f,b,"10306992,10540307,10533758,10533765,10533771","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"10450885,9966987,10655524,10205060,9831543","53500.0,61500.0,51500.0,57999.99999999999,61500.0","RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026"
7959773,f,w,"7959668,7960760,7960749,7960750,7960751","730000.0,730000.0,730000.0,730000.0,730000.0","RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001,RFA-RR-05-001"
8769602,m,a,"9927973,10413034,9753104,10165449,9597601","861000.0,749000.0,861000.0,812000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"9063400,8535048,9054824,9057491,8535365","498750.0,506250.00000000006,491250.0,491250.0,506250.00000000006","RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001,RFA-DA-13-001"
9987453,f,w,"9172674,8959886,8962105,8961416,9121688","98250.0,99750.0,99750.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"8408897,8501370,8683100,8403858,8410439","205500.00000000003,202500.0,199500.0,205500.00000000003,205500.00000000003","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
10541697,m,h,"10731795,10731905,10616930,10615485,10598626","206000.0,206000.0,206000.0,206000.0,206000.0","RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001,RFA-EY-21-001"
8856535,m,w,"7691302,7858212,7849075,7689126,8257981","365000.0,360000.0,350000.0,365000.0,342500.0","RFA-DA-08-009,RFA-DA-08-009,RFA-DA-08-009,RFA-DA-08-009,RFA-DA-08-009"
