APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
10349460,f,w,"8443566,8443625,8442723,8442095,8589013","236250.00000000003,236250.00000000003,236250.00000000003,236250.00000000003,232750.0","RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021,RFA-MH-13-021"
8972873,m,h,"8268769,7961481,8173803,8173801,8173800","685000.0,73000.0,72000.0,72000.0,72000.0","RFA-RR-11-004,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
9143074,m,h,"10149472,10128854,10150485,10150433,10150339","86100.0,86100.0,86100.0,86100.0,86100.0","RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012,RFA-FD-20-012"
9116302,f,a,"8842845,8639854,9120848,8639766,8889737","332500.0,337500.0,327500.0,337500.0,332500.0","RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007,RFA-NS-13-007"
8058642,m,w,"9691146,10380759,10394946,9918856,9926819","922500.0,802500.0,802500.0,922500.0,922500.0","RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017"
9364868,f,w,"9753104,9597601,10165449,9927973,10413034","861000.0,875000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10303939,m,b,"10486012,10304669,10303938,10303937,10692769","1070000.0,1160000.0,1160000.0,1160000.0,1030000.0","RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009,RFA-AA-20-009"
8379874,m,w,"9355581,10249322,10232123,10232084,10229516","62500.0,57999.99999999999,57999.99999999999,57999.99999999999,57999.99999999999","RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005,RFA-CA-16-005"
9526494,m,w,"10543748,10307399,10307429,10307430,10307472","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
9688770,f,w,"8280921,8278797,8333908,8334338,9131581","350000.0,350000.0,342500.0,342500.0,294750.0","RFA-FD-11-017,RFA-FD-11-017,RFA-FD-11-017,RFA-FD-11-017,RFA-HD-16-028"
9112848,f,w,"10213585,10089400,10613911,10559569,9862438","348000.0,348000.0,309000.0,309000.0,369000.0","RFA-AI-18-042,RFA-AI-18-042,RFA-AI-18-042,RFA-AI-18-042,RFA-AI-18-042"
9309585,f,w,"8413786,8391430,8311964,8312849,8311950","245000.0,245000.0,245000.0,245000.0,245000.0","RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-008,RFA-MD-11-007,RFA-MD-11-007"
10242786,m,w,"7914917,7684588,7900364,7886737,7936907","1460000.0,1460000.0,1440000.0,1440000.0,1440000.0","RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018,RFA-AI-06-018"
10289787,m,h,"9784806,9354477,9352820,9353792,9354480","307500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8935815,f,w,"10487531,10330342,10330219,10700076,10690696","534998.93,579998.84,579998.84,514998.97,514998.97","RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054,RFA-CA-20-054"
9320749,m,w,"8826679,8496399,8494918,8994259,9057364","997500.0,1012500.0,1012500.0,982500.0,982500.0","RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014,RFA-AI-12-014"
9280945,f,h,"9702662,9280947,9318339,9280946,9270439","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010,RFA-ES-14-010"
9170589,m,h,"10371187,9693999,9903479,9912209,10135711","2033000.0,2337000.0,2337000.0,2337000.0,2204000.0","RFA-HL-19-008,RFA-HL-19-008,RFA-HL-19-008,RFA-HL-19-008,RFA-HL-19-008"
7934079,f,w,"8077727,8077799,9066517,8989007,9259739","99750.0,99750.0,98250.0,98250.0,93750.0","RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001"
8790285,m,a,"10652615,10534936,9890823,10614642,10617372","206000.0,214000.0,2152500.0,1802500.0,1802500.0","RFA-MH-21-251,RFA-MH-21-251,RFA-AI-18-058,RFA-AI-18-058,RFA-AI-18-058"
8448153,m,w,"8676349,9462742,9462727,9462749,9462741","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
10321282,m,w,"10666054,10574136,10884691,10666060,10598632","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-OD-21-002,RFA-OD-21-002,RFA-OD-21-002,RFA-OD-21-002,RFA-OD-21-002"
7849767,f,h,"10330584,10376779,9930311,9930703,10569629","267500.0,267500.0,307500.0,307500.0,257500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
10189583,m,w,"7905569,8381473,8534157,8534171,8380695","2920000.0,2740000.0,2700000.0,2700000.0,2740000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
8327756,f,w,"8641479,8642228,8642427,8642401,8642431","1330000.0,1330000.0,1330000.0,1330000.0,1330000.0","RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007,RFA-OD-12-007"
9911375,m,w,"10619616,10470342,10488177,10497336,10531974","206000.0,214000.0,214000.0,214000.0,214000.0","RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011"
7936954,m,w,"9146268,9291402,8996081,9544796,10205952","393000.0,375000.0,399000.0,281250.0,261000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-17-030,RFA-AG-17-030"
8460020,m,w,"8440473,8440981,8441006,8441005,8067890","1400000.0,1400000.0,1400000.0,1400000.0,1400000.0","RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002"
10644994,m,w,"10670913,10471530,10473958,10474013,10474138","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004,RFA-MD-21-004"
10690743,m,w,"10443910,10612123,10745361,10745359,10732795","266430.0,266430.0,256470.0,256470.0,256470.0","RFA-CA-20-014,RFA-CA-20-014,RFA-CA-20-014,RFA-CA-20-014,RFA-CA-20-014"
9108805,m,w,"9734979,9519763,9519756,9533956,9534494","984000.0,1000000.0,1000000.0,1000000.0,1000000.0","RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003,RFA-AG-15-003"
10381477,m,h,"9573235,9747680,9526903,9539191,9535722","625000.0,615000.0,625000.0,625000.0,625000.0","RFA-FD-15-001,RFA-FD-15-001,RFA-FD-15-001,RFA-FD-15-001,RFA-FD-15-001"
8168306,m,h,"7929461,7561584,7922633,8137150,7997202","180000.0,182500.0,180000.0,175000.0,175000.0","RFA-RR-08-001,RFA-RR-08-001,RFA-RR-08-001,RFA-RR-08-001,RFA-RR-08-001"
8552185,f,w,"9517717,9316531,9313778,9276574,9313781","3750000.0,3750000.0,3750000.0,3750000.0,3750000.0","RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023,RFA-AI-13-023"
8119032,m,w,"8414065,8540334,8549924,8551657,8545128","274000.0,270000.0,270000.0,270000.0,270000.0","RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014"
9180126,m,w,"10398879,10136140,10136137,10136136,10136135","1070000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012,RFA-HD-21-012"
8179611,m,w,"9589787,9737805,9737807,9737808,9737809","1031250.0,1014750.0,1014750.0,1014750.0,1014750.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
10190904,m,w,"9698342,9259935,9341211,9259937,9339675","184500.0,187500.0,187500.0,187500.0,187500.0","RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002,RFA-DK-14-002"
8532849,f,w,"8502396,8534765,8500738,8719753,8719756","342500.0,337500.0,342500.0,332500.0,332500.0","RFA-FD-12-018,RFA-FD-12-018,RFA-FD-12-018,RFA-FD-12-018,RFA-FD-12-018"
7755169,m,w,"8138261,8676917,8328585,8529260,10718170","770000.0,731500.0,753500.0000000001,742500.0,257500.0","RFA-HL-11-025,RFA-HL-11-025,RFA-HL-11-025,RFA-HL-11-025,RFA-HL-23-019"
9049484,f,w,"8635343,8441162,9283526,9265073,9189724","66500.0,67500.0,62500.0,62500.0,62500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
8113282,m,w,"9529233,9336773,9547211,9528376,9127051","150000.0,150000.0,150000.0,150000.0,157200.0","RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005,RFA-AG-14-005"
9065493,m,a,"9767010,10003944,9999446,9999448,9999449","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
9999180,m,w,"7813882,8060640,7857001,7922385,7626351","1080000.0,1050000.0,1095000.0,1095000.0,1095000.0","RFA-DK-07-001,RFA-DK-07-001,RFA-DK-07-001,RFA-DK-07-001,RFA-DK-07-001"
8368498,m,w,"8625433,8535121,8368498,9334045,9152898","405000.0,405000.0,411000.00000000006,250000.0,262000.0","RFA-AG-12-007,RFA-AG-12-007,RFA-AG-12-007,RFA-AG-16-013,RFA-AG-16-013"
9912802,m,w,"10773680,7893077,8092588,7741852,7741904","515000.0,360000.0,350000.0,365000.0,328500.0","RFA-DA-23-050,RFA-MH-08-010,RFA-MH-08-010,RFA-MH-08-010,RFA-MH-08-011"
9718100,m,w,"9509333,9306750,9485316,9491692,9518530","437500.0,437500.0,437500.0,437500.0,437500.0","RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023,RFA-AI-15-023"
9729491,f,w,"8468987,7905533,8637907,8277428,8244370","675000.0,720000.0,665000.0,685000.0,685000.0","RFA-AI-09-016,RFA-AI-09-016,RFA-AI-09-016,RFA-AI-09-016,RFA-AI-09-016"
8528649,m,w,"8333352,8209792,8209937,8210341,8210246","274000.0,280000.0,280000.0,280000.0,280000.0","RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010,RFA-AG-11-010"
7894564,f,a,"8565628,8565991,8724343,8725571,8566312","270000.0,270000.0,266000.0,266000.0,270000.0","RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003,RFA-AG-13-003"
8826010,m,w,"8322625,7756325,7756236,8316179,8316181","1918000.0,2044000.0,2044000.0,1918000.0,1918000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
9462742,m,w,"10673857,10509428,10515569,10515457,10698166","513970.0,533930.0,533930.0,533930.0,513970.0","RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006,RFA-NS-22-006"
8070329,m,w,"9444336,9226026,9242598,9242597,9233914","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8565739,m,w,"10201079,9329844,9342869,9750688,9987199","1230000.0,1310000.0,1250000.0,1230000.0,1230000.0","RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001"
9813821,f,w,"8719005,8304535,8304443,8304508,8304429","718200.0,739800.0,739800.0,739800.0,739800.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8327271,m,w,"7944029,8136849,7780898,8736309,8705719","576000.0,560000.0,584000.0,540000.0,540000.0","RFA-RM-08-025,RFA-RM-08-025,RFA-RM-08-025,RFA-RM-08-025,RFA-RM-08-025"
8717561,m,w,"9274154,9116592,9462040,9117672,9117861","187500.0,196500.0,187500.0,196500.0,196500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
10001475,f,w,"8314113,7691805,8113184,7901149,7897686","548000.0,584000.0,560000.0,576000.0,576000.0","RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019,RFA-CA-08-019"
7935335,m,w,"8092588,7741852,7893077,7916632,8075482","350000.0,365000.0,360000.0,324000.0,315000.0","RFA-MH-08-010,RFA-MH-08-010,RFA-MH-08-010,RFA-MH-08-011,RFA-MH-08-011"
7577305,m,w,"9627114,9775448,9774044,10242772,10227178","625000.0,615000.0,615000.0,580000.0,580000.0","RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011,RFA-DK-17-011"
8732973,m,a,"7686493,8454525,8468982,8461902,8461115","657000.0,607500.0,607500.0,607500.0,607500.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
8691506,m,w,"9913677,10469996,10224202,10686835,9999520","307500.0,267500.0,290000.0,257500.0,307500.0","RFA-FD-19-010,RFA-FD-19-010,RFA-FD-19-010,RFA-FD-19-010,RFA-FD-19-010"
8947313,f,w,"9675825,10459380,9768957,10227955,9982216","312500.0,267500.0,307500.0,290000.0,307500.0","RFA-RM-18-017,RFA-RM-18-017,RFA-RM-18-017,RFA-RM-18-017,RFA-RM-18-017"
8758187,m,b,"9376249,9376270,8531859,8345673,8382105","281250.0,281250.0,1350000.0,1370000.0,1370000.0","RFA-AR-17-005,RFA-AR-17-005,RFA-AR-11-002,RFA-AR-11-002,RFA-AR-11-002"
7679755,m,w,"8900931,9212088,9226031,9233913,9212087","1995000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8726094,m,w,"9212088,9024431,9024430,9024427,9245827","1875000.0,1965000.0,1965000.0,1965000.0,1965000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
7921005,f,w,"8136469,7921004,7679052,8135266,7683297","420000.0,432000.0,438000.0,420000.0,438000.0","RFA-DA-07-006,RFA-DA-07-006,RFA-DA-07-006,RFA-DA-07-006,RFA-DA-07-006"
10319858,m,a,"9893850,10596565,10131155,9765880,10378747","615000.0,515000.0,580000.0,615000.0,535000.0","RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013"
7902967,m,w,"10692637,10692642,10701948,10701944,10701808","123600.0,123600.0,123600.0,123600.0,123600.0","RFA-RM-21-025,RFA-RM-21-025,RFA-RM-21-025,RFA-RM-21-025,RFA-RM-21-025"
8128601,f,h,"8103221,7824668,7880186,7890469,7663876","770000.0,803000.0,792000.0,792000.0,803000.0","RFA-HL-07-008,RFA-HL-07-008,RFA-HL-07-008,RFA-HL-07-008,RFA-HL-07-008"
9979637,m,a,"8335387,8335390,8335417,8529517,8545171","616500.0,616500.0,616500.0,607500.0,607500.0","RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011,RFA-DK-10-011"
9608708,m,w,"10470383,10019446,10687817,10241399,9918124","374500.0,430500.0,360500.0,406000.0,430500.0","RFA-AA-19-006,RFA-AA-19-006,RFA-AA-19-006,RFA-AA-19-006,RFA-AA-19-006"
9765880,f,w,"10131155,10596565,9893850,10378747,9765880","580000.0,515000.0,615000.0,535000.0,615000.0","RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013"
9789234,m,w,"10249327,10128522,9987210,9985371,9770847","464000.0,464000.0,492000.0,492000.0,307500.0","RFA-TR-19-020,RFA-TR-19-020,RFA-TR-19-020,RFA-TR-19-020,RFA-FD-18-017"
9750582,m,w,"9533360,9360837,9527729,9703835,9700015","312500.0,312500.0,312500.0,307500.0,307500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
10704647,f,w,"10359870,10358068,10894477,10893673,10569646","266430.0,266430.0,256470.0,256470.0,256470.0","RFA-CA-20-056,RFA-CA-20-056,RFA-CA-20-056,RFA-CA-20-056,RFA-CA-20-056"
9336338,m,h,"9324348,9536881,9119098,8795892,8927055","250000.0,250000.0,262000.0,266000.0,266000.0","RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027,RFA-HL-14-027"
8357036,m,w,"8051051,7617842,8051050,8049998,8051047","216000.0,219000.0,216000.0,216000.0,216000.0","RFA-MH-08-050,RFA-MH-08-050,RFA-MH-08-050,RFA-MH-08-050,RFA-MH-08-050"
9015857,f,w,"10219339,9957191,9555026,9723180,9384724","311460.0,330255.0,335625.0,330255.0,335625.0","RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014,RFA-HL-17-014"
9429474,m,a,"10037968,10031380,10037760,10037854,10388131","613770.0,613770.0,613770.0,613770.0,535000.0","RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-NS-20-004,RFA-AG-18-027"
9936105,f,a,"7896707,7666647,9771326,9552905,9772140","720000.0,730000.0,615000.0,625000.0,615000.0","RFA-AI-05-029,RFA-AI-05-029,RFA-OD-16-013,RFA-OD-16-013,RFA-OD-16-013"
10405585,m,w,"8918703,8539809,8385088,8919827,8535804","798000.0,810000.0,822000.0000000001,798000.0,810000.0","RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208,RFA-HD-12-208"
7940870,m,a,"8737489,8732740,8452885,8551809,8727786","2025000.0,2025000.0,2025000.0,2025000.0,2025000.0","RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007,RFA-NS-12-007"
9857015,m,w,"8892604,9433601,9673609,9223662,9022397","1330000.0,1250000.0,1230000.0,1250000.0,1310000.0","RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055"
8792969,f,h,"9304204,9517021,9321458,9376661,9670292","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013,RFA-DK-15-013"
9975112,m,w,"9276910,9669090,9774202,9774201,9774200","937500.0,922500.0,922500.0,922500.0,922500.0","RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002,RFA-GM-17-002"
10338361,m,w,"10433962,9737815,9588942,9588488,9588959","882750.0,1014750.0,1031250.0,1031250.0,1031250.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
8128396,m,a,"8123421,7578204,7914192,7914191,7906736","1152000.0,1168000.0,1168000.0,1168000.0,1168000.0","RFA-AR-06-001,RFA-AR-06-001,RFA-AR-06-001,RFA-AR-06-001,RFA-AR-06-001"
10276528,m,w,"10514064,10701771,10392963,9769612,9748396","535000.0,515000.0,267500.0,307500.0,307500.0","RFA-AG-22-019,RFA-AG-22-019,RFA-AG-18-009,RFA-AG-18-009,RFA-AG-18-009"
7945161,m,w,"10318078,10026575,10025851,10025548,10542732","85600.0,92800.0,92800.0,92800.0,82400.0","RFA-HL-20-007,RFA-HL-20-007,RFA-HL-20-007,RFA-HL-20-007,RFA-HL-20-007"
10688371,m,w,"10222411,10688400,10706732,10709110,10709113","1845000.0,1605000.0,1605000.0,1605000.0,1605000.0","RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038,RFA-CA-20-038"
9414450,f,w,"8883692,8896856,8680366,8704997,8714038","99750.0,99750.0,99750.0,99750.0,99750.0","RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030"
8379437,f,w,"10263699,10488978,10486197,10488972,10488409","290000.0,267500.0,267500.0,267500.0,267500.0","RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002,RFA-EB-20-002"
9259579,m,w,"9778989,9070675,10000361,8913969,9277468","187500.0,196500.0,184500.0,199500.0,187500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
8378292,m,w,"9514747,9088201,9054065,9054064,9054068","1250000.0,1310000.0,1310000.0,1310000.0,1310000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
8033599,f,w,"9129908,9250815,10434770,9116602,9262857","262000.0,250000.0,428000.0,262000.0,250000.0","RFA-MH-16-205,RFA-MH-16-205,RFA-AI-18-026,RFA-AI-15-021,RFA-AI-15-021"
8377724,m,w,"9977800,9320972,9753090,9753088,9753087","1353000.0,1375000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
10304670,m,w,"8831574,8667068,9474479,8666443,8667067","665000.0,675000.0,625000.0,665000.0,665000.0","RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003,RFA-AA-13-003"
10137948,m,w,"8829845,9301095,9322735,9303531,9303528","2394000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
10159207,f,h,"10398188,9901415,10396550,10158411,10630245","267500.0,307500.0,267500.0,290000.0,257500.0","RFA-AI-18-003,RFA-AI-18-003,RFA-AI-18-003,RFA-AI-18-003,RFA-AI-18-003"
9784578,f,w,"9356307,9784585,9891958,9891959,9891960","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001,RFA-AR-16-001"
8099029,m,w,"7999145,8082595,8514550,8486038,8681405","360000.0,350000.0,337500.0,342500.0,332500.0","RFA-DA-10-005,RFA-DA-10-005,RFA-DA-10-005,RFA-DA-10-005,RFA-DA-10-005"
8500403,m,a,"9882840,10256654,10653893,10670059,10021661","307500.0,290000.0,257500.0,257500.0,290000.0","RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002"
9753276,f,w,"10483185,9975112,10470432,9812105,9108891","695500.0,799500.0,754000.0,799500.0,982500.0","RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-11-015"
7914340,f,w,"8904645,8703654,8515985,9110917,8431599","1330000.0,1330000.0,1350000.0,1310000.0,1370000.0","RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010"
10207785,f,w,"9541162,10438796,10207785,10207784,10207783","1250000.0,1070000.0,1160000.0,1160000.0,1160000.0","RFA-NR-17-001,RFA-NR-17-001,RFA-NR-17-001,RFA-NR-17-001,RFA-NR-17-001"
7788202,m,w,"7603097,7788202,7879439,7614319,7901465","365000.0,360000.0,360000.0,365000.0,1460000.0","RFA-DE-06-001,RFA-DE-06-001,RFA-DE-06-001,RFA-DE-06-001,RFA-AI-07-001"
8590313,f,w,"8969452,8526224,8690616,8720557,8163738","665000.0,1350000.0,1330000.0,1330000.0,1400000.0","RFA-HL-14-013,RFA-HD-11-101,RFA-HD-11-101,RFA-HD-11-101,RFA-HD-11-101"
9689750,m,a,"8174566,8326073,8161405,8165514,8173415","466200.0,456210.00000000006,466200.0,466200.0,466200.0","RFA-AG-11-004,RFA-AG-11-004,RFA-AG-11-004,RFA-AG-11-004,RFA-AG-11-004"
9181394,m,w,"8909111,9552405,9514124,9514116,9514140","353780.0,332500.0,332500.0,332500.0,332500.0","RFA-DK-13-011,RFA-DK-13-011,RFA-DK-13-011,RFA-DK-13-011,RFA-DK-13-011"
10256085,f,w,"10261597,10261522,10256085,10701700,10691909","1160000.0,1160000.0,1160000.0,1030000.0,1030000.0","RFA-MH-20-205,RFA-MH-20-205,RFA-MH-20-205,RFA-MH-20-205,RFA-MH-20-205"
7905826,f,w,"10749781,10749786,10749787,10749788,10749843","515000.0,515000.0,515000.0,515000.0,515000.0","RFA-HG-22-027,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026,RFA-HG-22-026"
9692616,m,w,"8848725,9266787,9750580,9750579,9750578","1330000.0,1250000.0,1230000.0,1230000.0,1230000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10022174,f,w,"10848139,8732713,8551833,8386770,8386762","309000.0,1596000.0,1644000.0000000002,1644000.0000000002,1644000.0000000002","RFA-FD-23-030,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006,RFA-NS-12-006"
9061789,m,w,"8268769,8866494,8365250,8365239,8365240","685000.0,2660000.0,2800000.0,2800000.0,2800000.0","RFA-RR-11-004,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001"
10046143,m,w,"8307504,8016442,8565077,8531223,8565075","1027500.0,1080000.0,1012500.0,1012500.0,1012500.0","RFA-DK-09-006,RFA-DK-09-006,RFA-DK-09-006,RFA-DK-09-006,RFA-DK-09-006"
8230804,m,h,"8367956,9405955,8724550,8883692,8680366","102750.0,98250.0,99750.0,99750.0,99750.0","RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030,RFA-HL-12-030"
10704599,f,w,"10229465,10458506,10465033,10004385,10005595","812000.0,749000.0,749000.0,861000.0,861000.0","RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055,RFA-CA-19-055"
8188446,m,w,"10379350,10379349,10260437,10260438,10260439","1284000.0,1284000.0,1284000.0,1284000.0,1284000.0","RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017"
9390885,f,w,"8927066,9293372,8929133,8935925,8931088","332500.0,312500.0,332500.0,332500.0,332500.0","RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214,RFA-MH-14-214"
10589035,m,w,"8472725,8725230,8719172,8473018,8900335","270000.0,266000.0,266000.0,270000.0,266000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
8288813,f,w,"8539592,8446031,8443710,8537894,9852303","270000.0,274000.0,274000.0,270000.0,430500.0","RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-18-004"
8840252,m,w,"8514609,8514610,8229848,8335406,8335408","270000.0,270000.0,280000.0,274000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
8465810,m,a,"8955538,9735004,9089945,9090014,9089860","399000.0,369000.0,393000.0,393000.0,393000.0","RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026"
