APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_roberta_p_wi,APPVAL_RECS_roberta_p_wi,FOA_RECS_roberta_p_wi
8988958,f,b,"9552843,10463110,9985131,9995496,10163188","375000.0,348000.0,369000.0,369000.0,348000.0","RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007"
8535751,m,w,"9188204,9987622,9768431,9769005,9562053","65500.0,61500.0,61500.0,61500.0,62500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"10749781,8145814,7861753,7853344,7855669","515000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-HG-22-027,RFA-OD-09-004,RFA-OD-09-004,RFA-OD-09-004,RFA-OD-09-004"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","749000.0,875000.0,861000.0,812000.0,861000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
10406304,f,w,"7922586,7805474,7692164,8065479,7691786","72000.0,72000.0,73000.0,70000.0,73000.0","RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080,RFA-MH-08-080"
9987453,f,w,"10413034,9927973,10165449,9753104,9597601","749000.0,861000.0,812000.0,861000.0,875000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
9525273,m,w,"9117672,9674383,9462040,9459829,9683777","196500.0,184500.0,187500.0,187500.0,184500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
10541697,m,h,"10479136,10320714,10479039,10479040,10479093","401250.0,435000.0,401250.0,401250.0,401250.0","RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003"
8856535,m,w,"8874104,8768731,8885651,8882257,8766909","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
7886873,m,w,"8322169,7798357,7797774,7798364,7795475","602800.0,642400.0,642400.0,642400.0,642400.0","RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014"
10488630,f,a,"10491974,10374361,9674675,10404609,10405083","802500.0,869999.9999999999,437500.0,374500.0,374500.0","RFA-AG-21-033,RFA-AG-21-033,RFA-AG-18-026,RFA-AG-18-026,RFA-AG-18-026"
9137625,f,w,"8536640,8452332,8538326,8462037,8461738","202500.0,205500.00000000003,202500.0,205500.00000000003,205500.00000000003","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"8113038,8324499,8238398,8536361,8514724","280000.0,274000.0,274000.0,270000.0,270000.0","RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001,RFA-LM-10-001"
9485284,m,w,"8693975,8413975,8868954,8517895,8544456","997500.0,1027500.0,997500.0,1027500.0,1012500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
8070326,m,w,"9312738,9959307,9506679,9476774,9729515","937500.0,922500.0,937500.0,937500.0,922500.0","RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024"
8068031,f,w,"8011721,7680432,8010643,7994819,8066384","70000.0,73000.0,70000.0,70000.0,70000.0","RFA-MD-08-006,RFA-MD-08-006,RFA-MD-08-006,RFA-MD-08-006,RFA-MD-08-006"
9961343,m,w,"8722355,8460212,8460204,8458449,8459070","399000.0,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"8699693,8307505,8149926,8014602,8707400","887110.0,913790.0,933800.0,960480.0,887110.0","RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026,RFA-CA-09-026"
9150566,m,w,"7551999,7994756,7847078,7551990,7551992","80300.0,77000.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
10478136,m,w,"9547136,9770557,10001342,10001348,10237145","500000.0,492000.0,492000.0,492000.0,464000.0","RFA-FD-16-043,RFA-FD-16-043,RFA-FD-16-043,RFA-FD-16-043,RFA-FD-16-043"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"9052093,9462723,9462724,9473017,9475171","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019,RFA-AG-13-019"
10744343,f,a,"10587283,10590120,10590236,10590442,10590364","535000.0,535000.0,535000.0,535000.0,535000.0","RFA-DA-22-046,RFA-DA-22-046,RFA-DA-22-046,RFA-DA-22-046,RFA-DA-22-046"
10116708,f,w,"9743834,9225145,9925574,9225112,9019498","922500.0,982500.0,922500.0,982500.0,399000.0","RFA-HL-15-030,RFA-HL-15-030,RFA-HL-15-030,RFA-HL-15-030,RFA-HL-15-022"
9080334,m,w,"8532645,8725468,8894408,8894409,8326736","540000.0,532000.0,532000.0,532000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7845179,8109216,7842432,7839761,7841512","730000.0,700000.0,730000.0,730000.0,730000.0","RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001,RFA-RM-09-001"
9114017,m,h,"9662784,9897624,9679467,9679466,9679465","615000.0,615000.0,615000.0,615000.0,615000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8664917,8450929,8469083,8306428,8305921","332500.0,337500.0,337500.0,342500.0,342500.0","RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002,RFA-LM-11-002"
8468754,f,w,"8825531,8604915,9022512,9245732,9879494","3192000.0,3192000.0,3144000.0,3000000.0,146370.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-19-024"
7737637,m,w,"8848098,9283606,8729082,8728687,9057601","997500.0,937500.0,997500.0,997500.0,982500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
8664703,m,w,"8173904,8101318,8365151,8101299,8365135","7200000.0,7000000.0,7000000.0,7000000.0,7000000.0","RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004,RFA-RM-09-004"
8377171,m,w,"10048553,10442630,10652507,10652506,10049129","1230000.0,1070000.0,1030000.0,1030000.0,1230000.0","RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031"
8130689,m,w,"7681554,7932428,7928795,7658706,8138246","1460000.0,1460000.0,1440000.0,328500.0,324000.0","RFA-GM-06-003,RFA-GM-06-003,RFA-GM-06-003,RFA-GM-07-003,RFA-GM-07-003"
10495240,m,w,"8291165,8097114,8529834,8282632,7940147","342500.0,360000.0,342500.0,342500.0,365000.0","RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020,RFA-HD-07-020"
9787108,m,w,"9963133,10180829,9654633,9934086,9654389","4059000.0,3828000.0,4125000.0,4059000.0,4125000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
8036022,m,w,"7900589,7640777,7670344,7676699,7612039","288000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042,RFA-AI-05-042"
10359813,m,w,"8645749,8270550,8005774,8005627,8004892","532000.0,548000.0,576000.0,576000.0,576000.0","RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060,RFA-MH-10-060"
9753241,m,w,"9861241,9169960,9412461,9530641,9407187","246000.0,250000.0,250000.0,250000.0,250000.0","RFA-ES-15-014,RFA-ES-15-014,RFA-ES-15-014,RFA-ES-15-014,RFA-ES-15-014"
8659443,m,w,"8229227,8335406,8514609,8514610,8229848","280000.0,274000.0,270000.0,270000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"10451801,9684363,9683076,9683772,10200658","374500.0,437500.0,437500.0,437500.0,406000.0","RFA-AG-18-030,RFA-AG-18-030,RFA-AG-18-030,RFA-AG-18-030,RFA-AG-18-030"
8698446,m,w,"7687483,7902079,7687496,7687445,7688130","292000.0,288000.0,292000.0,292000.0,292000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
9571058,m,h,"9245568,9275869,8773743,8773551,8773897","312500.0,312500.0,332500.0,332500.0,332500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9527838,m,w,"8295049,8294095,8484469,8551302,8551306","1370000.0,1370000.0,1350000.0,1350000.0,1350000.0","RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011,RFA-NS-11-011"
9994751,m,w,"7931242,8138246,7673312,7663289,7683856","328500.0,324000.0,328500.0,328500.0,328500.0","RFA-GM-07-003,RFA-GM-07-003,RFA-GM-07-003,RFA-GM-07-003,RFA-GM-07-003"
10216205,m,w,"8189006,8336846,8332244,7618024,7908083","1050000.0,1027500.0,1027500.0,365000.0,365000.0","RFA-CA-10-013,RFA-CA-10-013,RFA-CA-10-013,RFA-CA-07-034,RFA-CA-07-034"
9355575,m,w,"9559642,9560704,9337096,9347270,9336090","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"8046269,8044994,8045260,8045197,8045301","576000.0,576000.0,576000.0,576000.0,576000.0","RFA-OD-10-010,RFA-OD-10-010,RFA-OD-10-010,RFA-OD-10-010,RFA-OD-10-010"
8132845,m,w,"8865708,8526591,9293376,9293391,9288227","266000.0,270000.0,250000.0,250000.0,250000.0","RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008,RFA-NS-11-008"
9561922,m,w,"7677949,8114133,7900055,7886881,7878517","511000.0,490000.0,504000.0,504000.0,504000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
8710052,m,w,"8710093,8734338,8711353,8710052,8710065","4320000.0,4256000.0,4256000.0,4256000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"8335408,8514609,8514610,8229227,8229848","274000.0,270000.0,270000.0,280000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9552433,m,b,"9139742,8738707,9346753,9552433,9749887","1310000.0,1330000.0,1310000.0,1250000.0,1250000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"9305121,8722607,8722609,8866459,8468307","187500.0,199500.0,199500.0,199500.0,202500.0","RFA-HL-13-005,RFA-HL-13-005,RFA-HL-13-005,RFA-HL-13-005,RFA-HL-13-005"
7691839,f,w,"8291433,8118202,7931855,8523445,7933501","342500.0,350000.0,360000.0,342500.0,288000.0","RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-008,RFA-RM-09-009"
7914250,m,w,"9130493,8292196,8134128,8009669,8111877","1463000.0,1507000.0000000002,1584000.0,1584000.0,1540000.0","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"7694378,7881980,8127697,7919509,7629810","730000.0,730000.0,700000.0,720000.0,1460000.0","RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-06-007"
10207339,m,a,"9917260,10534684,10534670,10534679,10534683","1476000.0,1236000.0,1236000.0,1236000.0,1236000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"8323234,8183722,8307294,8323227,8184891","68500.0,70000.0,68500.0,68500.0,70000.0","RFA-AG-11-007,RFA-AG-11-007,RFA-AG-11-007,RFA-AG-11-007,RFA-AG-11-007"
8070452,m,w,"7906881,7896673,7882459,8118030,8089430","360000.0,360000.0,360000.0,350000.0,350000.0","RFA-DE-08-006,RFA-DE-08-006,RFA-DE-08-006,RFA-DE-08-006,RFA-DE-08-006"
9551105,m,w,"10300050,10061656,10063575,10063573,10063572","802500.0,869999.9999999999,869999.9999999999,869999.9999999999,869999.9999999999","RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001"
10223141,f,w,"10459874,10459873,10602744,10602742,10602740","1070000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
10573185,m,w,"10079368,10079772,10363049,10341323,10086753","310121.13,310121.13,292471.96,292471.96,310121.13","RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005,RFA-ES-20-005"
9257399,f,w,"9363201,9762106,9701195,9362933,9360959","375000.0,369000.0,369000.0,375000.0,375000.0","RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007,RFA-ES-16-007"
8518235,f,w,"8848098,9301032,9492681,8889727,9513619","997500.0,937500.0,937500.0,997500.0,937500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
8318381,m,w,"9983137,9297422,9718273,9553858,7835624","169740.0,172500.0,169740.0,172500.0,180000.0","RFA-HL-17-003,RFA-HL-17-003,RFA-HL-17-003,RFA-HL-17-003,RFA-HL-08-017"
9071539,m,w,"9981665,9783753,9341423,9339858,9344964","861000.0,861000.0,875000.0,875000.0,875000.0","RFA-RM-16-005,RFA-RM-16-005,RFA-RM-16-005,RFA-RM-16-005,RFA-RM-16-005"
8120588,m,w,"8990689,9563295,9757795,9323489,9105753","1463000.0,1375000.0,1353000.0,1375000.0,1441000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"10455676,10678937,10669140,10669145,10669147","856000.0,824000.0,824000.0,824000.0,824000.0","RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009,RFA-HD-21-009"
7858033,m,w,"10471624,10614049,10698024,10479606,10478536","385200.0,370800.0,370800.0,385200.0,385200.0","RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023"
7691735,f,w,"8390913,8508998,8387986,8389405,8534229","376750.00000000006,371250.0,376750.00000000006,376750.00000000006,371250.0","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"9390754,8974745,9274846,9185857,9204319","312500.0,327500.0,312500.0,312500.0,312500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9527152,m,a,"9577979,9749167,9702001,9577443,9020144","1875000.0,1845000.0,1845000.0,1875000.0,294750.0","RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-17-007,RFA-ES-15-006"
10217030,f,w,"9853327,10159980,9990853,10610403,9852507","276750.0,261000.0,276750.0,514998.97,614998.77","RFA-MH-19-410,RFA-MH-19-410,RFA-MH-19-410,RFA-MH-19-412,RFA-MH-19-412"
10104482,m,a,"10459658,10666594,10460075,10614008,10614009","1070000.0,1030000.0,1070000.0,1030000.0,1030000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
8787984,m,w,"8726596,9108856,9754751,9323274,9323280","4322500.0,4257500.0,3997500.0,4062500.0,4062500.0","RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045"
7921782,f,b,"9961649,9514219,9961645,9752674,9747379","553500.0,562500.0,553500.0,553500.0,553500.0","RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010"
9222148,f,w,"8691043,8462270,8130694,8136543,8011394","405000.0,405000.0,420000.0,420000.0,432000.0","RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"8335408,8514609,8514610,8229227,8229848","274000.0,270000.0,270000.0,280000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9273611,m,w,"10570228,10374385,10375033,10375045,10552045","515000.0,535000.0,535000.0,535000.0,515000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"9521384,9314332,9521395,9303425,9314322","393750.0,393750.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"10584499,10442935,10442938,10442940,10442941","772500.0,802500.0,802500.0,802500.0,802500.0","RFA-DK-19-004,RFA-DK-19-004,RFA-DK-19-004,RFA-DK-19-004,RFA-DK-19-004"
10241405,m,w,"10446751,10447513,10630956,10632021,10440015","1070000.0,1070000.0,1030000.0,1030000.0,160500.0","RFA-TR-21-001,RFA-TR-21-001,RFA-TR-21-001,RFA-TR-21-001,RFA-TR-21-015"
8300031,f,w,"10181688,9974832,10152517,10147647,10144394","348000.0,369000.0,348000.0,348000.0,348000.0","RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015"
9339325,f,h,"8692132,8675379,8889421,8889422,8889420","405000.0,405000.0,399000.0,399000.0,399000.0","RFA-FD-13-006,RFA-FD-13-006,RFA-FD-13-006,RFA-FD-13-006,RFA-FD-13-006"
8814164,m,w,"9646322,10219080,9486440,9485464,9486473","922500.0,869999.9999999999,937500.0,937500.0,937500.0","RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081,RFA-AI-16-081"
7924122,f,w,"7919077,7846463,10405034,10614996,10576335","292000.0,292000.0,802500.0,772500.0,772500.0","RFA-AI-06-021,RFA-AI-06-021,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
9672444,f,h,"7991378,7847078,7845330,7994756,7991864","77000.0,80300.0,80300.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
8672569,m,w,"9088206,9267083,9266781,9266787,9267085","1310000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
9688831,f,w,"10224281,10063806,10227803,10480945,10487396","365400.0,387450.0,365400.0,337050.0,337050.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10374944,m,w,"10404140,10707011,10404144,10689967,10689969","1070000.0,1030000.0,1070000.0,1030000.0,1030000.0","RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001,RFA-AR-22-001"
10208856,m,h,"9573392,9762081,9748489,10173750,9938321","250000.0,246000.0,307500.0,290000.0,307500.0","RFA-DE-18-006,RFA-DE-18-006,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005"
10197904,m,a,"7899346,7912360,9459450,9459535,10518967","1131500.0,1131500.0,437500.0,437500.0,535000.0","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-17-004,RFA-DK-17-004,RFA-DK-21-016"
8520046,m,w,"10747205,7595201,7799862,7600623,7595239","123600.0,202940.0,200160.0,202940.0,202940.0","RFA-HD-23-027,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002"
