APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_w,APPVAL_RECS_bert-base(para)_r_w,FOA_RECS_bert-base(para)_r_w
9114017,m,h,"8389432,8391486,8391458,8391479,8390073","411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006,411000.00000000006","RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032"
8380038,m,w,"8322733,7680797,8300202,8520392,8463613","685000.0,730000.0,685000.0,675000.0,675000.0","RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001,RFA-LM-08-001"
8468754,f,w,"8604915,9245732,8825531,9022512,8862526","3192000.0,3000000.0,3192000.0,3144000.0,863170.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-007"
7737637,m,w,"10723639,10725052,10723637,10723638,10723640","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038"
8664703,m,w,"8092706,7941329,7961379,7961380,7849290","6650000.0,6935000.0,6935000.0,6935000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"7848533,7932344,8126358,8126359,8126360","292000.0,1460000.0,1440000.0,1440000.0,1440000.0","RFA-NS-07-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
8130689,m,w,"7658743,7683733,7921151,7880319,7939044","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10495240,m,w,"9872923,9873346,9874283,9876629,8644944","184500.0,184500.0,184500.0,184500.0,665000.0","RFA-MH-19-425,RFA-MH-19-425,RFA-MH-19-425,RFA-MH-19-425,RFA-MH-12-060"
9787108,m,w,"8712022,9269130,8712256,8711845,8709733","299250.0,281250.0,299250.0,299250.0,299250.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
8036022,m,w,"8956083,9089945,9089916,9089917,9089891","399000.0,393000.0,393000.0,393000.0,393000.0","RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026,RFA-AI-14-026"
10359813,m,w,"7662434,7678381,7666099,7916583,7650221","584000.0,584000.0,584000.0,360000.0,365000.0","RFA-DA-05-006,RFA-DA-05-006,RFA-DA-05-006,RFA-DA-06-004,RFA-DA-06-004"
9753241,m,w,"9118611,9119327,8517424,8676794,8676793","262000.0,262000.0,270000.0,266000.0,266000.0","RFA-ES-15-008,RFA-ES-15-008,RFA-ES-12-005,RFA-ES-12-005,RFA-ES-12-005"
8659443,m,w,"8229848,8229227,8514610,8514609,8335408","280000.0,280000.0,270000.0,270000.0,274000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"9733642,9914195,9739126,9738881,9738842","123000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002,RFA-AG-19-002"
8698446,m,w,"9324029,9747330,9533890,8951512,9114642","336250.0,330870.0,336250.0,357770.0,352390.0","RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012,RFA-HL-15-012"
9571058,m,h,"8600900,8734505,8607478,9002854,9003818","332500.0,337500.0,332500.0,327500.0,327500.0","RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001,RFA-MD-12-001"
9527838,m,w,"7996282,7848683,7869504,7911439,7555050","288000.0,292000.0,292000.0,292000.0,135185.78","RFA-EY-07-001,RFA-EY-07-001,RFA-NS-07-004,RFA-NS-07-004,RFA-AG-07-004"
9994751,m,w,"7658832,7939044,7681689,7658836,7658743","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"9142785,9142747,9142872,9142699,9142903","327500.0,327500.0,327500.0,327500.0,327500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
9355575,m,w,"9336574,9559643,9567935,9355571,9567936","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10690619,10661790,10480947,10480949,10480955","412000.0,412000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"10460520,9788528,10465255,10019696,10019714","535000.0,615000.0,535000.0,615000.0,615000.0","RFA-MH-18-600,RFA-MH-18-600,RFA-MH-18-600,RFA-MH-18-600,RFA-MH-18-600"
9561922,m,w,"7759549,7912856,7886480,7892935,7759069","584000.0,576000.0,576000.0,576000.0,584000.0","RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120,RFA-MH-09-120"
8710052,m,w,"8710065,7982615,7982603,7982604,7982605","4256000.0,4608000.0,4608000.0,4608000.0,4608000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"8757453,9284475,8910704,9778989,10000361","199500.0,187500.0,199500.0,187500.0,184500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
9552433,m,b,"9143830,9084924,9749887,8913705,9552433","1330000.0,1330000.0,1250000.0,1330000.0,1250000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"10447898,10599976,8813382,9232413,10215473","695500.0,669500.0,1596000.0,851500.0,754000.0","RFA-DE-22-001,RFA-DE-22-001,RFA-DK-13-016,RFA-DE-17-002,RFA-DE-17-002"
7691839,f,w,"9980927,9459934,9689471,9689555,9690087","922500.0,937500.0,922500.0,922500.0,922500.0","RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002"
7914250,m,w,"8712344,8130719,9130493,9130492,8317544","1463000.0,1540000.0,1463000.0,1463000.0,1507000.0000000002","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"7924910,7901642,7936516,7629810,7651392","1095000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-AA-06-006,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007,RFA-AA-06-007"
10207339,m,a,"9770533,9997766,10003116,10003119,9206567","307500.0,307500.0,307500.0,307500.0,327500.0","RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003,RFA-AA-16-003"
10302868,f,w,"9753104,9597601,10165449,9927973,10413034","861000.0,875000.0,812000.0,861000.0,749000.0","RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016,RFA-AG-18-016"
8070452,m,w,"7938963,7666763,7879037,7890853,8330512","365000.0,365000.0,365000.0,365000.0,350000.0","RFA-AI-05-026,RFA-AI-05-026,RFA-AI-05-026,RFA-AI-05-026,RFA-AI-05-026"
9551105,m,w,"7869504,7911439,8423727,8036079,8435565","292000.0,292000.0,94500.0,98000.0,95900.0","RFA-NS-07-004,RFA-NS-07-004,RFA-NS-09-001,RFA-NS-09-001,RFA-NS-09-001"
10223141,f,w,"9022397,9223662,9433601,9673609,8892604","1310000.0,1250000.0,1250000.0,1230000.0,1330000.0","RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055"
10573185,m,w,"8721417,8829218,8857464,8851592,8582263","532000.0,532000.0,532000.0,532000.0,540000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
9257399,f,w,"9980397,9024533,9440573,9655324,9774047","461250.0,491250.0,468750.0,461250.0,461250.0","RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013,RFA-ES-13-013"
8518235,f,w,"9963105,9733120,9730350,9730351,9730352","1230000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
8318381,m,w,"8825531,9245732,9022512,8604915,8651530","3192000.0,3000000.0,3144000.0,3192000.0,332500.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-12-027"
9071539,m,w,"7839492,7664511,7666892,7666932,7667260","584000.0,584000.0,584000.0,584000.0,584000.0","RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010,RFA-HL-07-010"
8120588,m,w,"9105753,9323489,9757795,9563295,8990689","1441000.0,1375000.0,1353000.0,1375000.0,1463000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"8382145,8338916,8379372,8381883,8381876","1027500.0,1027500.0,1027500.0,1027500.0,1027500.0","RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022"
7858033,m,w,"9938956,10467998,9985879,9985189,9979944","4920000.0,4280000.0,4920000.0,4920000.0,4920000.0","RFA-RM-18-006,RFA-RM-18-006,RFA-RM-18-006,RFA-RM-18-006,RFA-RM-18-006"
7691735,f,w,"8387986,8389405,8501615,8508998,8534229","376750.00000000006,376750.00000000006,371250.0,371250.0,371250.0","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"9977716,9449958,9750530,9956618,9956614","615000.0,625000.0,615000.0,615000.0,615000.0","RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003,RFA-MD-17-003"
9527152,m,a,"9545258,9513717,9773310,9775236,9527152","468750.0,468750.0,468750.0,461250.0,468750.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10217030,f,w,"10744578,10744678,10743669,10475677,10091568","1030000.0,1030000.0,1030000.0,535000.0,615000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"10057933,10226135,9533367,9523269,9514897","1230000.0,1160000.0,1250000.0,1250000.0,1250000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
8787984,m,w,"10569668,10548819,10358379,10358069,10670613","772500.0,772500.0,802500.0,802500.0,515000.0","RFA-AI-20-057,RFA-AI-20-057,RFA-AI-20-057,RFA-AI-20-057,RFA-AI-22-016"
7921782,f,b,"9961645,9752674,9961650,9180422,9180330","553500.0,553500.0,553500.0,589500.0,589500.0","RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010"
9222148,f,w,"9222148,9432540,8137255,7681140,7922626","250000.0,250000.0,812000.0,846800.0,835200.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-06-005,RFA-ES-06-005,RFA-ES-06-005"
9674467,m,w,"8649398,9926971,9256476,9249553,9247947","199500.0,184500.0,187500.0,187500.0,187500.0","RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001"
9273611,m,w,"9437827,9420639,9213709,9215356,10533805","250000.0,250000.0,250000.0,250000.0,206000.0","RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-OD-19-012"
10480740,m,w,"9517964,9745313,9308735,9313136,9297319","393750.0,387450.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"8144540,8143938,7846859,8075512,7629001","1080000.0,1080000.0,1080000.0,1080000.0,1095000.0","RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007,RFA-DK-06-007"
10241405,m,w,"9548717,9743642,9789854,10492705,9983644","275000.0,270600.0,4428000.0,3852000.0,4428000.0","RFA-HD-17-001,RFA-HD-17-001,RFA-CA-17-027,RFA-CA-17-027,RFA-CA-17-027"
8300031,f,w,"9128580,8919080,8918417,8653228,8653370","327500.0,332500.0,332500.0,337500.0,337500.0","RFA-AR-13-010,RFA-AR-13-010,RFA-AR-13-010,RFA-AR-13-010,RFA-AR-13-010"
9339325,f,h,"9344536,9274534,8889421,8917763,8911171","375000.0,393000.0,399000.0,399000.0,399000.0","RFA-FD-16-032,RFA-FD-16-032,RFA-FD-13-006,RFA-FD-13-006,RFA-FD-13-006"
8814164,m,w,"8704078,9241320,9238652,9238648,9223793","399000.0,375000.0,375000.0,375000.0,393000.0","RFA-AI-13-019,RFA-AI-13-019,RFA-AI-13-019,RFA-AI-13-019,RFA-AI-13-019"
7924122,f,w,"7939372,8102954,8681302,8695281,8660275","432000.0,420000.0,399000.0,399000.0,399000.0","RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028"
9672444,f,h,"10560426,10693558,10488177,10497336,10531974","214000.0,206000.0,214000.0,214000.0,214000.0","RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011,RFA-ES-19-011"
8672569,m,w,"9088203,9266788,9088204,9088208,9088206","1310000.0,1250000.0,1310000.0,1310000.0,1310000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
9688831,f,w,"7826600,7624339,8150719,7874466,7847085","360000.0,365000.0,360000.0,360000.0,365000.0","RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008"
10374944,m,w,"8264828,8662308,8265092,8264826,8464240","157550.0,152950.0,157550.0,157550.0,155250.0","RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013,RFA-HL-12-013"
10208856,m,h,"9775201,9978043,10468773,9644827,9646223","24600.0,24600.0,21400.0,25000.0,25000.0","RFA-DE-18-012,RFA-DE-18-012,RFA-DE-18-012,RFA-DE-18-012,RFA-DE-18-012"
