FOA_NUMBER
RFA-RR-88-802
RFA-HL-87-2L
RFA-V1-3N-N09
RFA-AI-85-501
RFA-AI-86-604
RFA-AI-88-810
RFA-AI-87-720
RFA-AI-84-I01
RFA-AI-87-704
RFA-AI-86-603
RFA-AI-83-832
RFA-AI-88-814
RFA-AI-87-712
RFA-AI-87-718
RFA-AI-87-713
RFA-AI-86-608
RFA-AI-86-607
RFA-AI-87-710
RFA-AI-88-801
RFA-AI-88-804
RFA-AI-88-805
RFA-AR-86-601
RFA-JP-84-RU1
RFA-CA-88-806
RFA-DA-89-902
RFA-NI-H8-01
RFA-GM-88-801
RFA-GM-88-803
RFA-HD-84-847
RFA-HD-85-510
RFA-HL-87-723
RFA-HL-88-9L
RFA-HL-88-820
RFA-NS-85-501
RFA-NS-88-807
RFA-NR-89-902
RFA-AG-89-901
RFA-AI-88-808
RFA-AI-88-815
RFA-AR-88-801
RFA-DK-87-710
RFA-DK-87-708
RFA-DK-88-811
RFA-AM-84-401
RFA-AM-84-404
RFA-HD-87-701
RFA-HD-88-810
RFA-AA-88-801
RFA-AG-84-401
RFA-AG-84-403
RFA-AG-88-801
RFA-87-AI-I17
RFA-AI-87-717
RFA-AI-87-715
RFA-AI-88-807
RFA-AR-87-701
RFA-DA-87-718
RFA-DA-87-724
RFA-DA-87-715
RFA-DE-86-601
RFA-DE-88-802
RFA-DE-85-501
RFA-DE-88-801
RFA-DE-88-803
RFA-DE-88-806
RFA-DK-86-601
RFA-DK-88-807
RFA-DK-88-813
RFA-HD-84-845
RFA-HD-88-811
RFA-HL-85-2L
RFA-HL-84-5B
RFA-HL-85-0H
RFA-HL-84-4GH
RFA-HL-85-51L
RFA-HL-85-52L
RFA-HL-83-3GJ
RFA-HL-85-1L
RFA-HL-87-1L
RFA-HL-84-3B
RFA-LM-85-501
RFA-MH-87-706
RFA-NR-89-901
RFA-HL-86-7B
RFA-AA-85-506
RFA-AA-85-505
RFA-AA-87-702
RFA-AA-88-802
RFA-AG-85-501
RFA-AG-86-601
RFA-AG-86-602
RFA-AG-87-701
