APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_r_wi,APPVAL_RECS_albert_r_wi,FOA_RECS_albert_r_wi
10116708,f,w,"8656791,9061777,8532979,8464242,8532972","199500.0,196500.0,202500.0,202500.0,202500.0","RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008"
9080334,m,w,"8475561,8380605,8475563,8475566,8532647","540000.0,548000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"8757958,9131804,8755681,8912518,8912516","232750.0,229250.0,232750.0,232750.0,232750.0","RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014,RFA-GM-14-014"
9114017,m,h,"8304429,9114017,8711204,8708485,8719003","739800.0,707400.0,718200.0,718200.0,718200.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8971761,9540701,9987199,9750688,9342869","1330000.0,1250000.0,1230000.0,1230000.0,1250000.0","RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001,RFA-DK-14-001"
8468754,f,w,"9022512,8604915,9245732,8825531,10256798","3144000.0,3192000.0,3000000.0,3192000.0,406000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-NR-20-001"
7737637,m,w,"9038249,9263887,8843779,8705846,7761157","196500.0,187500.0,199500.0,199500.0,219000.0","RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-13-007,RFA-AI-08-053"
8664703,m,w,"7625205,8365065,8365169,8365170,8365171","6935000.0,6650000.0,6650000.0,6650000.0,6650000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"10459581,10459584,10684010,10684021,10288582","1070000.0,1070000.0,1030000.0,1030000.0,1160000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
8130689,m,w,"7921151,7683100,7880319,7681689,7658832","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10495240,m,w,"8929385,8849505,8472537,8320113,8664432","665000.0,665000.0,675000.0,685000.0,665000.0","RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080"
9787108,m,w,"10434552,10636910,10619006,10434599,10434464","535000.0,515000.0,515000.0,535000.0,535000.0","RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006,RFA-AG-22-006"
8036022,m,w,"10356630,10356730,10540799,10364969,10364965","85600.0,85600.0,82400.0,85600.0,85600.0","RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056"
10359813,m,w,"8116503,8103206,7979735,7977301,8133454","280000.0,280000.0,288000.0,288000.0,350000.0","RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-010"
9753241,m,w,"8290333,8239673,8378873,8376370,8376368","1644000.0000000002,1680000.0,1644000.0000000002,1644000.0000000002,1644000.0000000002","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
8659443,m,w,"7915866,8115467,8105727,7796711,7761262","292000.0,288000.0,288000.0,288000.0,288000.0","RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006"
9706081,f,a,"10144033,10266154,10266151,10266150,10489299","11685000.0,11020000.0,11020000.0,11020000.0,9785000.0","RFA-NS-20-013,RFA-NS-20-013,RFA-NS-20-013,RFA-NS-20-013,RFA-NS-20-013"
8698446,m,w,"7688130,7900492,7687500,7687347,7687483","292000.0,288000.0,292000.0,292000.0,292000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
9571058,m,h,"8795756,9259739,8609592,8077727,8077799","99750.0,93750.0,99750.0,99750.0,99750.0","RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001"
9527838,m,w,"9355480,9991942,9775495,9535520,9271613","937500.0,922500.0,922500.0,937500.0,982500.0","RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019,RFA-NS-16-019"
9994751,m,w,"9379470,9747920,9750080,9750071,9750019","312500.0,307500.0,307500.0,307500.0,307500.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10216205,m,w,"8603715,8802881,8988580,9195127,9197309","332500.0,332500.0,312500.0,312500.0,312500.0","RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001,RFA-GM-14-001"
9355575,m,w,"9193994,9337096,9567936,9567510,9567935","262000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"9186931,9782899,9763624,9763625,9766246","327500.0,307500.0,307500.0,307500.0,307500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
8132845,m,w,"10488817,10669760,10698165,10685497,10487879","214000.0,206000.0,206000.0,206000.0,214000.0","RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008"
9561922,m,w,"9517140,10316999,9646359,9246899,9516960","62500.0,53500.0,61500.0,62500.0,62500.0","RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011,RFA-RM-15-011"
8710052,m,w,"8122622,8128554,7692693,8294476,9480886","1080000.0,1050000.0,1095000.0,1027500.0,250000.0","RFA-CA-08-012,RFA-CA-08-012,RFA-CA-08-012,RFA-CA-08-012,RFA-CA-15-002"
10116392,f,w,"9019375,9016471,9016112,9019006,9019340","299250.0,299250.0,299250.0,299250.0,299250.0","RFA-ES-15-005,RFA-ES-15-005,RFA-ES-15-005,RFA-ES-15-006,RFA-ES-15-006"
9552433,m,b,"9386094,10207716,9969453,9734121,9557534","500000.0,428000.0,492000.0,492000.0,500000.0","RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017"
8907762,m,h,"8013240,7756214,8133624,7911685,8318280","360000.0,365000.0,360000.0,360000.0,342500.0","RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011"
7691839,f,w,"7691833,7893813,7940507,7691838,7691405","292000.0,360000.0,365000.0,365000.0,365000.0","RFA-RM-08-011,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010"
7914250,m,w,"10677598,10429878,9454195,9454112,9629956","283250.0,294250.0,500000.0,500000.0,492000.0","RFA-HL-22-002,RFA-HL-22-002,RFA-AI-16-078,RFA-AI-16-078,RFA-AI-16-078"
8903741,f,w,"8230147,8706674,8925202,8607103,8601673","7140000.0,6783000.0,6783000.0,6783000.0,6783000.0","RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006,RFA-AA-11-006"
10207339,m,a,"9917266,10534684,9917265,9917267,10534669","1476000.0,1236000.0,1476000.0,1476000.0,1236000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"8368840,8532795,8370150,8367812,8518215","68500.0,67500.0,68500.0,68500.0,67500.0","RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006,RFA-AG-12-006"
8070452,m,w,"10429916,10397088,9730911,10429917,10429918","267500.0,267500.0,307500.0,267500.0,267500.0","RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002,RFA-AI-18-002"
9551105,m,w,"8472329,8473040,8800580,8806614,8554393","274000.0,274000.0,266000.0,266000.0,266000.0","RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010,RFA-NS-12-010"
10223141,f,w,"9983288,9539963,9514897,9523269,9533367","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"10738215,10738193,9442800,9657766,9183876","284038.98,284038.98,1250000.0,1230000.0,1250000.0","RFA-ES-22-006,RFA-ES-22-006,RFA-ES-15-016,RFA-ES-15-016,RFA-ES-15-016"
9257399,f,w,"8391026,7932180,7935432,7838126,7840740","959000.0,1008000.0,1008000.0,1022000.0,1022000.0","RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005,RFA-ES-09-005"
8518235,f,w,"8869169,8707091,9038970,9247696,9509611","532000.0,532000.0,524000.0,500000.0,500000.0","RFA-AI-13-012,RFA-AI-13-012,RFA-AI-13-012,RFA-AI-13-012,RFA-AI-13-012"
8318381,m,w,"10625296,10255155,10432093,10646467,10112639","237930.0,267960.0,247170.0,237930.0,267960.0","RFA-HL-19-023,RFA-HL-19-023,RFA-HL-19-023,RFA-HL-19-023,RFA-HL-19-023"
9071539,m,w,"9772144,9989929,9553882,9553874,9553873","307500.0,307500.0,312500.0,312500.0,312500.0","RFA-RM-16-006,RFA-RM-16-006,RFA-RM-16-006,RFA-RM-16-006,RFA-RM-16-006"
8120588,m,w,"8990689,9105753,9323489,9757795,9563295","1463000.0,1441000.0,1375000.0,1353000.0,1375000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"10682407,10085149,10085551,10085550,10085504","824000.0,984000.0,984000.0,984000.0,984000.0","RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016"
7858033,m,w,"10479606,10614049,10478536,10471624,10620856","385200.0,370800.0,385200.0,385200.0,370800.0","RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023,RFA-DK-21-023"
7691735,f,w,"9654469,9783891,10141077,10180770,9901363","562500.0,553500.0,522000.0,553500.0,553500.0","RFA-MD-18-002,RFA-MD-18-002,RFA-MD-18-002,RFA-MD-18-002,RFA-MD-18-002"
8789173,m,h,"10878229,10639980,10639682,10638169,10633534","515000.0,535000.0,535000.0,535000.0,535000.0","RFA-FD-22-005,RFA-FD-22-005,RFA-FD-22-005,RFA-FD-22-005,RFA-FD-22-005"
9527152,m,a,"9019340,9149273,9301840,9130927,9221318","299250.0,294750.0,294750.0,294750.0,281250.0","RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006,RFA-ES-15-006"
10217030,f,w,"10744678,10743669,10744578,10091323,10217030","1030000.0,1030000.0,1030000.0,276750.0,261000.0","RFA-MH-22-190,RFA-MH-22-190,RFA-MH-22-190,RFA-MH-20-521,RFA-MH-20-521"
10104482,m,a,"9829067,8552185,9828042,8975603,8975581","6436999.59,6960332.890000001,6436999.59,6855666.23,6855666.23","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
8787984,m,w,"9654293,10091395,10584503,9880395,10335121","553500.0,522000.0,463500.0,553500.0,481500.0","RFA-AI-17-034,RFA-AI-17-034,RFA-AI-17-034,RFA-AI-17-034,RFA-AI-17-034"
7921782,f,b,"9963303,10437857,10656394,10200858,9795632","738000.0,642000.0,618000.0,696000.0,738000.0","RFA-HD-19-008,RFA-HD-19-008,RFA-HD-19-008,RFA-HD-19-008,RFA-HD-19-008"
9222148,f,w,"9222148,9432540,8690847,8537637,8274673","250000.0,250000.0,399000.0,411000.00000000006,411000.00000000006","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"8335406,8335408,8514609,8514610,8229227","274000.0,274000.0,270000.0,270000.0,280000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9273611,m,w,"10552045,10570855,10374385,10375033,10375045","515000.0,515000.0,535000.0,535000.0,535000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"9518443,9725732,9747101,9745313,9742998","393750.0,387450.0,387450.0,387450.0,387450.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"9132231,8450724,8334773,8334772,8334774","196500.0,202500.0,205500.00000000003,205500.00000000003,205500.00000000003","RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003,RFA-DK-11-003"
10241405,m,w,"8535083,8283211,8334337,7684273,7687642","337500.0,350000.0,342500.0,730000.0,730000.0","RFA-FD-11-016,RFA-FD-11-016,RFA-FD-11-016,RFA-HG-07-005,RFA-HG-07-005"
8300031,f,w,"7912258,7658184,7849039,7849041,7627999","365000.0,365000.0,360000.0,360000.0,365000.0","RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004"
9339325,f,h,"9108064,9108632,8282018,8326513,8326512","266000.0,266000.0,700000.0,685000.0,685000.0","RFA-FD-15-022,RFA-FD-15-022,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8814164,m,w,"9020493,9018963,9187430,9197605,9182864","393000.0,393000.0,375000.0,375000.0,375000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"8507118,8081010,8279166,8303318,8302453","405000.0,420000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028,RFA-AI-09-028"
9672444,f,h,"9246531,9457433,9044774,9044776,8913586","116680.0,116680.0,122280.64,122280.64,124147.52","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
8672569,m,w,"8668838,8441019,8440501,8440502,8440503","1330000.0,1400000.0,1400000.0,1400000.0,1400000.0","RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002,RFA-AG-10-002"
9688831,f,w,"8150719,7874466,7624328,7624339,7595816","360000.0,360000.0,365000.0,365000.0,365000.0","RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008"
10374944,m,w,"10356730,10554385,10356627,10356628,10356630","85600.0,82400.0,85600.0,85600.0,85600.0","RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056,RFA-AI-20-056"
10208856,m,h,"9966726,10436322,10437809,10207600,9634236","799500.0,695500.0,695500.0,754000.0,812500.0","RFA-DE-18-011,RFA-DE-18-011,RFA-DE-18-011,RFA-DE-18-011,RFA-DE-18-011"
10197904,m,a,"10473735,10631108,10296340,10518318,10693360","749000.0,721000.0,812000.0,1177000.0,1133000.0","RFA-HG-20-043,RFA-HG-20-043,RFA-HG-20-043,RFA-HG-21-029,RFA-HG-21-029"
8520046,m,w,"10747205,7799862,7799854,7799863,7897842","123600.0,200160.0,200160.0,200160.0,200160.0","RFA-HD-23-027,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002"
