APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
8962105,m,b,"10645467,10645719,10645746,10645964,9932272","515000.0,515000.0,515000.0,515000.0,615000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-15-018"
7885660,m,w,"8996081,9291402,9146268,9494700,9177874","399000.0,375000.0,393000.0,3000000.0,3144000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-MH-16-600,RFA-MH-16-600"
8722014,f,w,"9291402,8996081,9146268,9519819,9967926","375000.0,399000.0,393000.0,625000.0,615000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-16-022,RFA-AG-16-022"
9421907,f,w,"10491848,10670680,10372447,9654628,9654389","267500.0,257500.0,290000.0,4125000.0,4125000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-18-021,RFA-AG-18-021"
10017961,m,w,"10689928,10528845,8758050,8369767,8367889","515000.0,535000.0,332500.0,274000.0,274000.0","RFA-DA-22-009,RFA-DA-22-009,RFA-AG-14-012,RFA-AG-12-008,RFA-AG-12-008"
9682510,f,w,"9812311,9494700,9706654,9319816,9177874","3000000.0,3000000.0,2952000.0,3000000.0,3144000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
8932663,m,w,"9090775,9089463,9313927,9335971,9509503","589500.0,589500.0,562500.0,562500.0,562500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
8810682,m,w,"8509163,9213339,8794412,8617223,9000120","1012500.0,937500.0,997500.0,997500.0,982500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
10686340,m,w,"9517023,9697814,9316605,9951035,9173599","562500.0,553500.0,562500.0,553500.0,589500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
7551990,f,h,"9755097,9985212,10664948,9566197,9557490","937500.0,922500.0,772500.0,937500.0,937500.0","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
9781466,m,w,"10166845,10461730,10461771,10114823,10116143","46400.0,42800.0,42800.0,49200.0,49200.0","RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018,RFA-FD-20-018"
8060626,m,w,"8881515,9124602,8919250,8883055,8925805","266000.0,262000.0,266000.0,266000.0,266000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
9896674,f,a,"9156542,9346002,9691088,9546463,9926797","163750.0,156250.0,153750.0,156250.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10424380,m,a,"9376394,9529618,10491848,10670680,10372447","250000.0,250000.0,267500.0,257500.0,290000.0","RFA-DE-17-005,RFA-DE-17-005,RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018"
10676778,m,w,"9546463,9691088,9346002,9156542,9926797","156250.0,153750.0,156250.0,163750.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7637363,m,w,"9454567,9044774,9670111,9044776,9044778","500000.0,122280.64,114813.12,122280.64,122280.64","RFA-MH-14-030,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
9269218,m,w,"8743206,8723828,8691778,8721417,9036982","532000.0,532000.0,532000.0,532000.0,524000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
9960850,m,w,"8367889,8369767,8833707,8758050,10689928","274000.0,274000.0,1330000.0,332500.0,515000.0","RFA-AG-12-008,RFA-AG-12-008,RFA-DK-13-027,RFA-AG-14-012,RFA-DA-22-009"
8119772,m,w,"9565384,9928385,9421907,9695908,9268704","437500.0,430500.0,437500.0,430500.0,1875000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AI-12-048"
9998967,m,w,"9464008,9117104,9283243,9237257,9248352","1250000.0,1310000.0,1250000.0,1250000.0,1250000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
9935976,f,w,"8698651,8339363,8519139,9130634,8258577","465500.0,479500.00000000006,472500.00000000006,458500.0,490000.0","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
9539516,m,w,"9654633,10450686,9789137,9787307,9787108","4125000.0,3531000.0,4059000.0,4059000.0,4059000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
10518914,m,w,"9691088,9546463,9346002,9156542,9926797","153750.0,156250.0,156250.0,163750.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10770832,f,w,"8758050,9928390,10153614,9644737,9645993","332500.0,615000.0,580000.0,625000.0,625000.0","RFA-AG-14-012,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023"
8380026,m,w,"9691088,9156542,9926797,9546463,9346002","153750.0,163750.0,153750.0,156250.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10592409,f,w,"8665103,8711623,8653231,8667713,8665106","1995000.0,1995000.0,1995000.0,1995000.0,1995000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8339880,m,w,"8966508,9555310,8965529,8965575,8965551","598500.0,562500.0,598500.0,598500.0,598500.0","RFA-AG-15-015,RFA-AG-15-015,RFA-AG-15-015,RFA-AG-15-015,RFA-AG-15-015"
9592088,m,a,"10645964,10645467,10645719,10645746,9738587","515000.0,515000.0,515000.0,515000.0,123000.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-19-002"
10008967,m,w,"10404992,9654628,9654290,9789137,10188376","3531000.0,4125000.0,4125000.0,4059000.0,3828000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
10134972,f,w,"9146268,9291402,8996081,9277914,9674237","393000.0,375000.0,399000.0,625000.0,615000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-DC-17-002,RFA-DC-17-002"
8988958,f,b,"9555305,8689156,8550129,8411660,8876775","375000.0,532000.0,540000.0,548000.0,532000.0","RFA-AG-17-056,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035"
8535751,m,w,"9321236,10015256,9535290,9562053,9769005","62500.0,61500.0,62500.0,62500.0,61500.0","RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006,RFA-DK-15-006"
7959773,f,w,"9564694,9736785,9454132,10178077,9955301","625000.0,615000.0,625000.0,580000.0,615000.0","RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020"
8769602,m,a,"8728040,8339365,8538264,8531723,8339880","399000.0,411000.00000000006,405000.0,405000.0,411000.00000000006","RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008"
10406304,f,w,"7922872,8083495,8082436,8048626,7586542","1460000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040,RFA-AI-07-040"
9987453,f,w,"9812311,9494700,9706654,9319816,9177874","3000000.0,3000000.0,2952000.0,3000000.0,3144000.0","RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600,RFA-MH-16-600"
9525273,m,w,"9535978,9751079,9849598,9868199,9324725","1250000.0,1230000.0,1230000.0,1230000.0,1250000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
10541697,m,h,"9205998,9547441,9340202,9515968,10152382","655000.0,625000.0,625000.0,625000.0,535000.0","RFA-EY-15-002,RFA-EY-15-002,RFA-EY-15-002,RFA-MH-17-300,RFA-MH-17-300"
8856535,m,w,"9213339,8794412,9000120,8509163,8617223","937500.0,997500.0,982500.0,1012500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
7886873,m,w,"8551728,8472259,8858686,8675008,8680060","472500.00000000006,479500.00000000006,465500.0,465500.0,465500.0","RFA-NR-12-010,RFA-NR-12-010,RFA-NR-12-010,RFA-NR-12-010,RFA-NR-12-010"
10488630,f,a,"8833707,10645964,10645746,10645719,10645467","1330000.0,515000.0,515000.0,515000.0,515000.0","RFA-DK-13-027,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009"
9137625,f,w,"9554641,9479533,9477918,9479993,9477877","375000.0,375000.0,375000.0,375000.0,375000.0","RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010,RFA-FD-17-010"
8085924,m,w,"9951915,10469402,10638756,9999522,10110060","861000.0,749000.0,749000.0,861000.0,861000.0","RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013"
9485284,m,w,"8883055,8881515,9124602,9124604,8925805","266000.0,266000.0,262000.0,262000.0,266000.0","RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082,RFA-FD-14-082"
8070326,m,w,"10144931,9691146,9576962,9576741,10380759","869999.9999999999,922500.0,937500.0,937500.0,802500.0","RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017"
8068031,f,w,"9691088,9346002,9156542,9926797,9546463","153750.0,156250.0,163750.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
9961343,m,w,"9476618,9478480,9479644,9477813,9476552","468750.0,468750.0,468750.0,468750.0,468750.0","RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005,RFA-FD-17-005"
8870884,m,h,"10437950,9922215,9645993,9644737,9646134","535000.0,615000.0,625000.0,625000.0,625000.0","RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023,RFA-AG-18-023"
9150566,m,w,"10529887,10666636,9156542,9926797,9346002","342400.0,329600.0,163750.0,153750.0,156250.0","RFA-DA-22-020,RFA-DA-22-020,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10478136,m,w,"8709733,8711845,8712256,8712022,9057934","299250.0,299250.0,299250.0,299250.0,294750.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
10343347,m,w,"9542494,8815168,9245827,9024427,9024430","1875000.0,1995000.0,1965000.0,1965000.0,1965000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
8309064,f,w,"8851500,8709733,8867993,9471780,9433593","299250.0,299250.0,299250.0,281250.0,281250.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
10744343,f,a,"8634875,10645964,10645746,10645719,10645467","270000.0,515000.0,515000.0,515000.0,515000.0","RFA-MH-13-140,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009"
10116708,f,w,"9928385,9421907,9695908,9565384,9962481","430500.0,437500.0,430500.0,437500.0,430500.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-HL-18-022"
9080334,m,w,"10578579,10578616,10588717,10578468,10578526","515000.0,515000.0,535000.0,515000.0,515000.0","RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041,RFA-HG-21-041"
7959811,f,h,"9529618,9376394,8758050,9057934,8709733","250000.0,250000.0,332500.0,294750.0,299250.0","RFA-DE-17-005,RFA-DE-17-005,RFA-AG-14-012,RFA-AG-14-002,RFA-AG-14-002"
9114017,m,h,"9117095,9432431,9849270,9849598,9237257","1310000.0,1250000.0,1230000.0,1230000.0,1250000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
8380038,m,w,"9691088,9546463,9346002,9156542,9926797","153750.0,156250.0,156250.0,163750.0,153750.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8468754,f,w,"10666636,10529887,9926797,9156542,9346002","329600.0,342400.0,153750.0,163750.0,156250.0","RFA-DA-22-020,RFA-DA-22-020,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7737637,m,w,"8617223,9000120,8509163,9213339,8794412","997500.0,982500.0,1012500.0,937500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8664703,m,w,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8377171,m,w,"8758050,10374361,10491974,9090775,9477768","332500.0,869999.9999999999,802500.0,589500.0,562500.0","RFA-AG-14-012,RFA-AG-21-033,RFA-AG-21-033,RFA-HL-16-001,RFA-HL-16-001"
8130689,m,w,"9277052,9346576,9264661,9264681,9264670","327500.0,312500.0,458500.0,458500.0,458500.0","RFA-FD-16-012,RFA-FD-16-012,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005"
10495240,m,w,"8339363,8519139,8258577,9130634,8698651","479500.00000000006,472500.00000000006,490000.0,458500.0,465500.0","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
9787108,m,w,"10180829,10450686,10432056,10404992,9928881","3828000.0,3531000.0,3531000.0,3531000.0,4059000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
8036022,m,w,"8667703,9024440,9067906,9024443,9024439","1995000.0,1965000.0,1965000.0,1965000.0,1965000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
10359813,m,w,"9291402,9146268,8996081,10170216,9674724","375000.0,393000.0,399000.0,580000.0,625000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-18-022,RFA-AG-18-022"
9753241,m,w,"9313019,9929040,9513055,9513056,9493555","750000.0,738000.0,750000.0,750000.0,750000.0","RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350,RFA-MH-17-350"
8659443,m,w,"8889677,8826120,8605677,8605752,8606033","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009"
9706081,f,a,"9269130,9057934,8712256,8711845,8709733","281250.0,294750.0,299250.0,299250.0,299250.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
8698446,m,w,"9674261,9784662,8758050,9788258,10390460","625000.0,625000.0,332500.0,615000.0,535000.0","RFA-AG-18-025,RFA-AG-18-025,RFA-AG-14-012,RFA-AG-18-027,RFA-AG-18-027"
9571058,m,h,"8339363,8698651,8519139,8258577,9130634","479500.00000000006,465500.0,472500.00000000006,490000.0,458500.0","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
9527838,m,w,"9928881,9654389,10432056,9787108,9787307","4059000.0,4125000.0,3531000.0,4059000.0,4059000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
9994751,m,w,"8758050,10599641,10701846,10528845,10689928","332500.0,321000.0,309000.0,535000.0,515000.0","RFA-AG-14-012,RFA-FD-22-016,RFA-FD-22-016,RFA-DA-22-009,RFA-DA-22-009"
10216205,m,w,"10670680,10372447,10491848,8666913,8639458","257500.0,290000.0,267500.0,1012500.0,997500.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AI-11-004,RFA-AI-11-004"
9355575,m,w,"9462654,9905322,9687642,9547966,9352725","218750.0,215250.0,215250.0,218750.0,218750.0","RFA-AG-16-008,RFA-AG-16-008,RFA-AG-16-008,RFA-AG-16-008,RFA-AG-16-008"
8874375,m,w,"8919411,8914013,8840977,8688799,8730206","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-GM-13-009,RFA-GM-13-009,RFA-GM-13-009,RFA-GM-13-009,RFA-GM-13-009"
8132845,m,w,"9020268,8992917,8442735,9015478,9210654","5240000.0,5240000.0,5400000.0,5240000.0,5000000.0","RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010,RFA-MH-13-010"
9561922,m,w,"8689156,8550129,8411660,8876775,10372447","532000.0,540000.0,548000.0,532000.0,290000.0","RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-FD-21-018"
8710052,m,w,"10178079,9767857,9576667,9576864,9768539","406000.0,430500.0,437500.0,437500.0,430500.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
10116392,f,w,"9710735,9770854,9990549,10223914,10469997","312500.0,307500.0,307500.0,290000.0,267500.0","RFA-FD-18-012,RFA-FD-18-012,RFA-FD-18-012,RFA-FD-18-012,RFA-FD-18-012"
9552433,m,b,"10669291,10685497,10489488,10488875,10488817","206000.0,206000.0,214000.0,214000.0,214000.0","RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008,RFA-DA-22-008"
8907762,m,h,"8689156,8550129,8411660,8876775,9264682","532000.0,540000.0,548000.0,532000.0,458500.0","RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-HL-12-035,RFA-AG-16-005"
7691839,f,w,"9654290,10404992,10432056,10450087,10450686","4125000.0,3531000.0,3531000.0,3531000.0,3531000.0","RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021,RFA-AG-18-021"
7914250,m,w,"8617223,8794412,8509163,9000120,9213339","997500.0,997500.0,1012500.0,982500.0,937500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8903741,f,w,"10454243,10372315,10469997,9990549,10223914","321000.0,348000.0,267500.0,307500.0,290000.0","RFA-FD-21-012,RFA-FD-21-012,RFA-FD-18-012,RFA-FD-18-012,RFA-FD-18-012"
10207339,m,a,"8870486,8872760,8871620,8927475,8927474","299250.0,299250.0,299250.0,299250.0,299250.0","RFA-FD-14-004,RFA-FD-14-004,RFA-FD-14-004,RFA-FD-14-004,RFA-FD-14-004"
10302868,f,w,"9697814,9951035,9316605,9173599,9517023","553500.0,553500.0,562500.0,589500.0,562500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
8070452,m,w,"8811083,9233913,8711629,8675533,8675535","1995000.0,1875000.0,1995000.0,1995000.0,1995000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
9551105,m,w,"10689928,10528845,8443710,8446031,8537894","515000.0,535000.0,274000.0,274000.0,270000.0","RFA-DA-22-009,RFA-DA-22-009,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012"
10223141,f,w,"9237256,9237258,9248352,9237257,9464008","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003,RFA-DE-15-003"
10573185,m,w,"8927908,9775236,9059090,9068923,9063076","498750.0,461250.0,491250.0,491250.0,491250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
9257399,f,w,"10224615,9672778,9981719,9985020,10216339","725000.0,781250.0,768750.0,768750.0,725000.0","RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001"
8518235,f,w,"8617223,9000120,8509163,9213339,8794412","997500.0,982500.0,1012500.0,937500.0,997500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8318381,m,w,"8604915,9022512,8825531,9245732,9177874","3192000.0,3144000.0,3192000.0,3000000.0,3144000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-MH-16-600"
9071539,m,w,"10144440,10186749,10376779,9930311,9930703","290000.0,290000.0,267500.0,307500.0,307500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
8120588,m,w,"8258577,9130634,8519139,8698651,8339363","490000.0,458500.0,472500.00000000006,465500.0,479500.00000000006","RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007,RFA-NR-11-007"
9548127,m,w,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
7858033,m,w,"9146268,9291402,8996081,8758050,9674261","393000.0,375000.0,399000.0,332500.0,625000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-14-012,RFA-AG-18-025"
7691735,f,w,"9316605,9951035,9173599,9697814,9517023","562500.0,553500.0,589500.0,553500.0,562500.0","RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017,RFA-DK-15-017"
8789173,m,h,"9546463,9926797,9156542,9691088,9346002","156250.0,153750.0,163750.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
9527152,m,a,"9527124,8927904,9068923,9063076,9058544","468750.0,498750.0,491250.0,491250.0,491250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10217030,f,w,"9623982,9747383,9935976,9751349,9692355","281250.0,276750.0,276750.0,307500.0,307500.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-HD-15-017,RFA-HD-15-017"
10104482,m,a,"9336296,9147579,9147608,9146883,9335720","625000.0,655000.0,655000.0,655000.0,625000.0","RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019"
8787984,m,w,"8996081,9291402,9146268,9849598,9627971","399000.0,375000.0,393000.0,1230000.0,1230000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-DE-15-003,RFA-DE-15-003"
7921782,f,b,"10457740,10459080,8634875,10624351,10436554","274540.60000000003,274540.60000000003,270000.0,515000.0,535000.0","RFA-HD-22-010,RFA-HD-22-010,RFA-MH-13-140,RFA-AG-22-020,RFA-AG-22-020"
9222148,f,w,"10003224,9995019,10004030,9774041,9774045","399750.0,399750.0,399750.0,399750.0,399750.0","RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008"
9674467,m,w,"8791901,8605677,8889677,8791686,8826120","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009,RFA-ES-12-009"
9273611,m,w,"9291402,8996081,9146268,9967926,9205914","375000.0,399000.0,393000.0,615000.0,655000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-16-022,RFA-AG-16-022"
10480740,m,w,"10330303,10530693,10459080,10457740,10731695","481500.0,463500.0,274540.60000000003,274540.60000000003,154500.0","RFA-ES-20-007,RFA-ES-20-007,RFA-HD-22-010,RFA-HD-22-010,RFA-OD-22-015"
10361543,f,h,"9454567,8897762,9697804,9275470,9031759","500000.0,665000.0,615000.0,625000.0,655000.0","RFA-MH-14-030,RFA-DC-15-001,RFA-DC-15-001,RFA-DC-15-001,RFA-DC-15-001"
10241405,m,w,"9882084,9881867,10256654,10251237,10241423","307500.0,307500.0,290000.0,290000.0,290000.0","RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002,RFA-EB-18-002"
8300031,f,w,"10645719,10645964,10645467,10645746,9951035","515000.0,515000.0,515000.0,515000.0,553500.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-DK-15-017"
9339325,f,h,"10213065,10091112,9771087,9768170,9540711","1160000.0,1230000.0,937500.0,922500.0,937500.0","RFA-FD-20-004,RFA-FD-20-004,RFA-FD-15-021,RFA-FD-15-021,RFA-FD-15-021"
8814164,m,w,"8833707,9918856,9926819,10155392,10170222","1330000.0,922500.0,922500.0,869999.9999999999,869999.9999999999","RFA-DK-13-027,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017"
7924122,f,w,"9233914,9257270,9212087,9233913,9226031","1875000.0,1875000.0,1875000.0,1875000.0,1875000.0","RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048,RFA-AI-12-048"
9672444,f,h,"9562090,9377290,9372637,10248371,10228022","937500.0,937500.0,937500.0,869999.9999999999,869999.9999999999","RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008,RFA-ES-16-008"
8672569,m,w,"10419022,10492007,10705183,10696176,10362384","580000.0,535000.0,123600.0,123600.0,139200.0","RFA-AG-21-035,RFA-AG-21-035,RFA-RM-20-022,RFA-RM-20-022,RFA-RM-20-022"
9688831,f,w,"10618316,10426961,9775215,9200118,9203505","535600.0,556400.0,215250.0,229250.0,229250.0","RFA-HL-22-007,RFA-HL-22-007,RFA-AG-16-020,RFA-AG-16-020,RFA-AG-16-020"
10374944,m,w,"8758050,10597055,10330584,10376779,9930311","332500.0,257500.0,267500.0,267500.0,307500.0","RFA-AG-14-012,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
10208856,m,h,"9291402,8996081,9146268,10170216,10174669","375000.0,399000.0,393000.0,580000.0,580000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-18-022,RFA-AG-18-022"
10197904,m,a,"10372447,10670680,10491848,9963133,10188376","290000.0,257500.0,267500.0,4059000.0,3828000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-AG-18-021,RFA-AG-18-021"
8520046,m,w,"9648120,9452944,9319420,9922256,9546463","307500.0,312500.0,312500.0,307500.0,156250.0","RFA-DA-17-007,RFA-DA-17-007,RFA-DA-17-007,RFA-DA-17-007,RFA-AG-16-010"
9332366,f,w,"8010757,7890855,7859818,7932676,7901249","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
