APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_p_w,APPVAL_RECS_bert-xxxxx_p_w,FOA_RECS_bert-xxxxx_p_w
10238874,m,w,"9346002,9691088,9156542,9926797,9546463","156250.0,153750.0,163750.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8519139,f,h,"9146268,8996081,9291402,10645719,10645467","393000.0,399000.0,375000.0,515000.0,515000.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-23-009,RFA-AG-23-009"
9654673,m,w,"9951915,10417361,10241274,10932496,10681249","861000.0,812000.0,812000.0,721000.0,721000.0","RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013,RFA-FD-19-013"
8867050,m,w,"8554377,8471935,8867050,8690627,9099557","472500.00000000006,479500.00000000006,465500.0,465500.0,458500.0","RFA-NR-12-011,RFA-NR-12-011,RFA-NR-12-011,RFA-NR-12-011,RFA-NR-12-011"
10683044,f,w,"10597055,10330584,10144440,10186749,9930703","257500.0,267500.0,290000.0,290000.0,307500.0","RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001,RFA-ES-19-001"
8914480,m,w,"9156542,9691088,9346002,9926797,9546463","163750.0,153750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
8539607,m,w,"9926797,9156542,9346002,9691088,9546463","153750.0,163750.0,156250.0,153750.0,156250.0","RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010,RFA-AG-16-010"
10095390,f,w,"8531723,8255223,8538264,8339892,8339365","405000.0,420000.0,405000.0,411000.00000000006,411000.00000000006","RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008,RFA-NR-11-008"
7959774,f,a,"10689928,10528845,8537894,8446031,8443710","515000.0,535000.0,270000.0,274000.0,274000.0","RFA-DA-22-009,RFA-DA-22-009,RFA-DE-12-012,RFA-DE-12-012,RFA-DE-12-012"
7625223,f,w,"10879238,10746646,10746527,10879351,10066310","154500.0,154500.0,154500.0,154500.0,232000.0","RFA-DA-23-037,RFA-DA-23-037,RFA-DA-23-037,RFA-DA-23-037,RFA-OD-19-012"
9348608,m,w,"9672778,9673275,9672297,9981719,9985020","781250.0,781250.0,781250.0,768750.0,768750.0","RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001,RFA-HS-18-001"
9749189,m,w,"10441406,9787281,10425329,9674724,9674162","535000.0,615000.0,535000.0,625000.0,625000.0","RFA-AG-18-022,RFA-AG-18-022,RFA-AG-18-022,RFA-AG-18-022,RFA-AG-18-022"
8382576,m,w,"10645964,10645746,10645719,10645467,9429358","515000.0,515000.0,515000.0,515000.0,62500.0","RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-AG-23-009,RFA-NS-17-016"
10691216,f,w,"10372447,10491848,10670680,10701846,10599641","290000.0,267500.0,257500.0,309000.0,321000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-FD-22-016,RFA-FD-22-016"
8268506,f,h,"10624351,10436554,10437135,10617370,10645467","515000.0,535000.0,535000.0,515000.0,515000.0","RFA-AG-22-020,RFA-AG-22-020,RFA-AG-22-020,RFA-AG-22-020,RFA-AG-23-009"
8896827,m,a,"10491848,10670680,10372447,8883055,8881515","267500.0,257500.0,290000.0,266000.0,266000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-FD-14-082,RFA-FD-14-082"
9926819,m,w,"9576962,10380759,10394946,9918856,9926819","937500.0,802500.0,802500.0,922500.0,922500.0","RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017,RFA-AI-17-017"
8379078,m,w,"10599641,10701846,9969342,10762656,9905886","321000.0,309000.0,615000.0,515000.0,615000.0","RFA-FD-22-016,RFA-FD-22-016,RFA-FD-19-002,RFA-FD-19-002,RFA-FD-19-002"
8111036,m,w,"8882257,8885651,8874104,8768731,8768636","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038,RFA-AI-13-038"
10523509,f,w,"10533805,9854277,9854274,10543848,10576966","206000.0,246000.0,246000.0,206000.0,206000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
10221396,m,w,"8010757,7890856,7901249,7932676,7859818","1440000.0,1460000.0,1460000.0,1460000.0,1460000.0","RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013,RFA-AI-07-013"
