APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_p_wi,APPVAL_RECS_bert-base(para)_p_wi,FOA_RECS_bert-base(para)_p_wi
8070326,m,w,"10576343,9950456,10361516,10126805,10213585","772500.0,922500.0,802500.0,869999.9999999999,348000.0","RFA-AI-19-011,RFA-AI-19-011,RFA-AI-19-011,RFA-AI-19-011,RFA-AI-18-042"
8068031,f,w,"8667339,8474636,8529216,9242173,9233266","997500.0,1012500.0,1012500.0,982500.0,982500.0","RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005,RFA-MD-11-005"
9961343,m,w,"8520172,8520174,8459125,8459115,8457183","405000.0,405000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10707213,10631646,10630593,10740364,9787405","515000.0,515000.0,535000.0,515000.0,984000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-CA-17-033"
9150566,m,w,"9669041,8913586,9044774,9044776,9044778","114813.12,124147.52,122280.64,122280.64,122280.64","RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004,RFA-ES-14-004"
10478136,m,w,"10473954,9564280,10001460,10001522,10001523","290000.0,312500.0,307500.0,307500.0,307500.0","RFA-DK-16-010,RFA-DK-16-010,RFA-DK-16-010,RFA-DK-16-010,RFA-DK-16-010"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8293682,8381244,8690701,8805818,8690725","1190000.0,1164500.0,1130500.0,1130500.0,1130500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
10744343,f,a,"7691350,7849074,7849076,7851185,8075097","365000.0,360000.0,360000.0,360000.0,350000.0","RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014"
10116708,f,w,"8840638,8464241,8843934,8845245,8843932","199500.0,202500.0,199500.0,199500.0,199500.0","RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008,RFA-HL-12-008"
9080334,m,w,"8695291,8479319,8681154,8380612,8380605","532000.0,540000.0,532000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"7777254,8333074,7784449,7803674,7822826","360000.0,350000.0,360000.0,360000.0,360000.0","RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002"
9114017,m,h,"10614996,10612905,10215763,10369731,10378726","772500.0,772500.0,869999.9999999999,802500.0,802500.0","RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
8380038,m,w,"8142537,8092824,8117811,8092522,8117555","4320000.0,4200000.0,4200000.0,4200000.0,4200000.0","RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008"
8468754,f,w,"9022512,8604915,9245732,8825531,9791471","3144000.0,3192000.0,3000000.0,3192000.0,615000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-18-019"
7737637,m,w,"9437652,9020204,9214310,9222699,9437665","187500.0,196500.0,187500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
8664703,m,w,"8175539,8173865,8173803,8173802,8173801","72000.0,72000.0,72000.0,72000.0,72000.0","RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002,RFA-RM-06-002"
8377171,m,w,"10442631,10652506,10652509,10652516,10652520","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031,RFA-NS-19-031"
8130689,m,w,"7681554,7932428,7928795,9774201,10198942","1460000.0,1460000.0,1440000.0,922500.0,869999.9999999999","RFA-GM-06-003,RFA-GM-06-003,RFA-GM-06-003,RFA-GM-17-002,RFA-GM-17-002"
10495240,m,w,"8879486,8554312,8433794,8434963,8433290","1330000.0,1350000.0,1370000.0,1370000.0,1370000.0","RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210,RFA-HD-12-210"
9787108,m,w,"10634546,10681318,10044328,10222564,10236355","257500.0,257500.0,307500.0,290000.0,290000.0","RFA-AG-20-025,RFA-AG-20-025,RFA-AG-20-025,RFA-AG-20-025,RFA-AG-20-025"
8036022,m,w,"9380822,9380898,9999446,9999448,9999449","250000.0,250000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
10359813,m,w,"8116503,7979735,7977301,8103206,8429497","280000.0,288000.0,288000.0,280000.0,337500.0","RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-011,RFA-MH-10-010"
9753241,m,w,"9686298,9686209,9772547,9785484,9786823","250000.0,250000.0,246000.0,246000.0,246000.0","RFA-MD-18-006,RFA-MD-18-006,RFA-MD-18-006,RFA-MD-18-006,RFA-MD-18-006"
8659443,m,w,"9039593,10000586,9675651,9706229,9706228","196500.0,184500.0,187500.0,187500.0,187500.0","RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001,RFA-ES-13-001"
9706081,f,a,"10093706,10265509,10265545,10095390,10091228","307500.0,290000.0,464000.0,492000.0,492000.0","RFA-AG-20-038,RFA-AG-20-038,RFA-AG-20-037,RFA-AG-20-037,RFA-AG-20-037"
8698446,m,w,"8298979,7936083,8501646,8502314,7768331","732950.0,770400.0,722250.0,722250.0,781100.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"8077573,8609592,8077799,9107513,8989007","101250.0,99750.0,99750.0,98250.0,98250.0","RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001,RFA-MD-10-001"
9527838,m,w,"10668163,10668764,10669493,10669491,10668770","5150000.0,5150000.0,5150000.0,5150000.0,5150000.0","RFA-RM-22-015,RFA-RM-22-015,RFA-RM-22-015,RFA-RM-22-015,RFA-RM-22-015"
9994751,m,w,"7658836,7683733,7681689,7658832,7658743","365000.0,365000.0,365000.0,365000.0,365000.0","RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"8332244,8336846,8189006,10131583,9275112","1027500.0,1027500.0,1050000.0,869999.9999999999,937500.0","RFA-CA-10-013,RFA-CA-10-013,RFA-CA-10-013,RFA-GM-17-002,RFA-GM-17-002"
9355575,m,w,"9336574,9336090,9337096,9368956,9337097","250000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10476584,10661790,10476567,10476568,10476573","428000.0,412000.0,428000.0,428000.0,428000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"7779493,7782591,7943004,7943002,7935205","219000.0,219000.0,216000.0,216000.0,216000.0","RFA-NS-09-003,RFA-NS-09-003,RFA-NS-09-003,RFA-NS-09-003,RFA-NS-09-003"
9561922,m,w,"7685279,7991555,7675391,7675389,7861203","511000.0,504000.0,511000.0,511000.0,511000.0","RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014,RFA-DK-05-014"
8710052,m,w,"8545554,8726324,8710068,8735867,8722462","4320000.0,4256000.0,4256000.0,4256000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"8828199,8451490,8461220,8450252,8450240","2394000.0,2430000.0,2430000.0,2430000.0,2430000.0","RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012,RFA-ES-09-012"
9552433,m,b,"8391950,8784175,8914169,8919722,9119535","1260400.0,1223600.0,1223600.0,1223600.0,1205200.0","RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008,RFA-RM-11-008"
8907762,m,h,"8890495,7791559,7791497,7791529,8534103","465500.0,511000.0,511000.0,511000.0,472500.00000000006","RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010,RFA-DK-08-010"
7691839,f,w,"8698894,8111531,8327891,8136204,8134250","931000.0,1008000.0,980000.0,980000.0,980000.0","RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012,RFA-RM-08-012"
7914250,m,w,"7622953,7919789,7897726,7623993,7689051","365000.0,365000.0,360000.0,365000.0,365000.0","RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001"
8903741,f,w,"8127697,7919509,7881980,7694378,7924910","700000.0,720000.0,730000.0,730000.0,1095000.0","RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-07-010,RFA-AA-06-006"
10207339,m,a,"10075864,10075866,10310695,10310696,10310697","1392000.0,1392000.0,1284000.0,1284000.0,1284000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"10263222,10027670,10027770,10027773,10027781","116000.0,123000.0,123000.0,123000.0,123000.0","RFA-AG-20-018,RFA-AG-20-018,RFA-AG-20-018,RFA-AG-20-018,RFA-AG-20-018"
8070452,m,w,"7688825,8468107,8454528,8468984,8468108","657000.0,607500.0,607500.0,607500.0,607500.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"10505417,10505552,10008042,10012212,10189014","321000.0,321000.0,369000.0,369000.0,348000.0","RFA-MH-21-130,RFA-MH-21-130,RFA-MH-20-120,RFA-MH-20-120,RFA-MH-20-120"
10223141,f,w,"9022397,9433601,8892604,9223662,9673609","1310000.0,1250000.0,1330000.0,1250000.0,1230000.0","RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055,RFA-AI-13-055"
10573185,m,w,"8584670,8857464,8759484,8583621,8723828","540000.0,532000.0,540000.0,540000.0,532000.0","RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008,RFA-ES-12-008"
9257399,f,w,"8925885,9284475,8913969,8910705,8910704","199500.0,187500.0,199500.0,199500.0,199500.0","RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010,RFA-ES-13-010"
8518235,f,w,"7940837,7936261,7927151,7929510,7930512","216000.0,216000.0,216000.0,216000.0,216000.0","RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007,RFA-AI-08-007"
8318381,m,w,"9245732,8825531,9022512,8604915,8016853","3000000.0,3192000.0,3144000.0,3192000.0,5903998.56","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-10-008"
