APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_wi,APPVAL_RECS_bert-base(para)_o_wi,FOA_RECS_bert-base(para)_o_wi
10573185,m,w,"7922880,7761262,7683056,7610959,7914797","292000.0,288000.0,292000.0,292000.0,292000.0","RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006"
9257399,f,w,"10167036,10414004,10580804,10580803,10414961","1160000.0,1070000.0,1030000.0,1030000.0,1070000.0","RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006,RFA-ES-20-006"
8518235,f,w,"8729082,8848098,8901254,9492681,9513619","997500.0,997500.0,997500.0,937500.0,937500.0","RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026,RFA-HD-14-026"
8318381,m,w,"9055778,8588708,8651533,8660719,8651530","327500.0,342500.0,332500.0,332500.0,332500.0","RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027,RFA-HL-12-027"
9071539,m,w,"10483185,9975112,10470432,9812105,9811315","695500.0,799500.0,754000.0,799500.0,799500.0","RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-027,RFA-RM-18-028"
8120588,m,w,"9757795,8990689,9105753,9323489,9563295","1353000.0,1463000.0,1441000.0,1375000.0,1375000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"10085553,10661707,10661715,10661716,10673835","984000.0,824000.0,824000.0,824000.0,824000.0","RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016"
7858033,m,w,"7845713,8068021,8067876,8067877,7828170","1387000.0,1368000.0,1368000.0,1368000.0,1368000.0","RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002,RFA-MD-06-002"
7691735,f,w,"8389405,8390913,8387986,8534229,8508998","376750.00000000006,376750.00000000006,376750.00000000006,371250.0,371250.0","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"8774633,9188824,8970568,8968764,9391987","332500.0,312500.0,327500.0,327500.0,312500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9527152,m,a,"8478103,8334553,8686848,8686852,8685981","202500.0,205500.00000000003,199500.0,199500.0,199500.0","RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009,RFA-ES-10-009"
10217030,f,w,"9935976,9747383,9623982,10087002,9912346","276750.0,276750.0,281250.0,261000.0,276750.0","RFA-MH-18-605,RFA-MH-18-605,RFA-MH-18-605,RFA-MH-20-202,RFA-MH-20-202"
10104482,m,a,"9147608,9771459,9049750,9050007,9048061","655000.0,615000.0,665000.0,665000.0,665000.0","RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019"
8787984,m,w,"9225176,8820057,8820055,8820056,8819821","625000.0,665000.0,665000.0,665000.0,665000.0","RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002,RFA-AI-14-002"
7921782,f,b,"8117529,7800880,7826587,7851254,8319997","350000.0,360000.0,360000.0,360000.0,350000.0","RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001,RFA-HL-08-001"
9222148,f,w,"9222148,9432540,8911400,8691043,8462270","250000.0,250000.0,399000.0,405000.0,405000.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"9903351,9687710,9683914,9683915,9683916","2152500.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"9215356,9437827,9420639,9213709,8116503","250000.0,250000.0,250000.0,250000.0,280000.0","RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-MH-17-150,RFA-MH-10-011"
10480740,m,w,"10227806,10221746,10063794,10063783,10063760","365400.0,365400.0,387450.0,387450.0,387450.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10361543,f,h,"9016529,9198000,9197985,9337428,9232148","982500.0,937500.0,937500.0,937500.0,937500.0","RFA-DK-12-023,RFA-DK-12-023,RFA-DK-12-023,RFA-DK-12-023,RFA-DK-12-023"
10241405,m,w,"9918028,9918030,10021042,10021041,10475830","11992500.0,11992500.0,11992500.0,11992500.0,10432500.0","RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012,RFA-NS-19-012"
8300031,f,w,"7849039,7617881,7849041,7897916,7862568","360000.0,365000.0,360000.0,360000.0,360000.0","RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004,RFA-DE-06-004"
9339325,f,h,"9274534,9344536,8326509,8326513,8473069","393000.0,375000.0,685000.0,685000.0,685000.0","RFA-FD-16-032,RFA-FD-16-032,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8814164,m,w,"7989182,8105104,7989006,7989090,8285021","1440000.0,1400000.0,1440000.0,1440000.0,1400000.0","RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029,RFA-AI-09-029"
7924122,f,w,"8056790,8069821,8079597,8058623,8102837","420000.0,420000.0,420000.0,420000.0,420000.0","RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003,RFA-AI-07-003"
9672444,f,h,"9918178,10600025,10217136,10207642,10207640","1230000.0,1030000.0,1160000.0,1160000.0,1160000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
8672569,m,w,"8458384,8073104,8469381,8469374,8469382","1027500.0,1050000.0,1012500.0,1012500.0,1012500.0","RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001,RFA-AG-10-001"
9688831,f,w,"8120693,7928873,8134476,8134784,8101019","1080000.0,1095000.0,1050000.0,1050000.0,1050000.0","RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003,RFA-OD-06-003"
10374944,m,w,"10625578,10625576,10625693,10625692,10625691","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001,RFA-AI-22-001"
10208856,m,h,"9152601,9302373,9455713,9455656,9302388","1637500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-DE-16-007,RFA-DE-16-007,RFA-DE-16-007,RFA-DE-16-007,RFA-DE-16-007"
