APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_w,APPVAL_RECS_bert-xx_r_w,FOA_RECS_bert-xx_r_w
10008967,m,w,"10288582,10459581,10459584,10288585,10684010","1160000.0,1070000.0,1070000.0,1160000.0,1030000.0","RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008,RFA-AR-21-008"
10134972,f,w,"7555583,7862326,7692271,8975055,9126612","1460000.0,1440000.0,1460000.0,665000.0,655000.0","RFA-MH-08-110,RFA-MH-08-110,RFA-MH-08-111,RFA-MH-15-850,RFA-MH-15-850"
8988958,f,b,"9518897,9323405,9527147,9520291,9520296","1562500.0,1562500.0,1562500.0,1562500.0,1562500.0","RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
8535751,m,w,"8120741,8120932,7681260,7681021,7683931","196000.0,196000.0,204400.0,204400.0,204400.0","RFA-HD-06-020,RFA-HD-06-020,RFA-HD-06-020,RFA-HD-06-020,RFA-HD-06-020"
7959773,f,w,"7798339,7797933,7798326,8686992,8436052","4171428.78,4171428.78,4171428.78,6750000.0,6850000.000000001","RFA-DK-08-006,RFA-DK-08-006,RFA-DK-08-006,RFA-DK-11-019,RFA-DK-11-019"
8769602,m,a,"8962105,8961416,9121688,8959886,9103741","99750.0,99750.0,99750.0,99750.0,98250.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
10406304,f,w,"7845561,7885322,7880871,7656591,7668578","360000.0,360000.0,360000.0,365000.0,365000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
9987453,f,w,"9172674,9174325,9103741,9121688,8961416","98250.0,98250.0,98250.0,99750.0,99750.0","RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005,RFA-HL-15-005"
9525273,m,w,"7591140,7619103,7609151,7623056,7919722","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015"
10541697,m,h,"7682983,7643794,7931241,9608514,9609947","292000.0,292000.0,292000.0,375000.0,375000.0","RFA-MH-08-060,RFA-MH-08-060,RFA-MH-08-060,RFA-MH-18-500,RFA-MH-18-500"
8856535,m,w,"10459929,10654766,10602742,10602744,10602745","1070000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013,RFA-AI-21-013"
7886873,m,w,"10457740,10459080,10153842,10153840,10137295","274540.60000000003,274540.60000000003,1392000.0,1392000.0,1392000.0","RFA-HD-22-010,RFA-HD-22-010,RFA-HD-19-017,RFA-HD-19-017,RFA-HD-19-017"
10488630,f,a,"10417201,10445251,10445254,9938869,9938870","583150.0,583150.0,583150.0,670350.0,670350.0","RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002,RFA-AG-20-002"
9137625,f,w,"9336162,9098341,9102722,9748858,9748857","187500.0,199500.0,199500.0,184500.0,184500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"8233625,8974732,8976075,8973249,8976073","205500.00000000003,196500.0,196500.0,196500.0,196500.0","RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020"
9485284,m,w,"8149989,8149991,8020738,8021062,8020664","210000.0,210000.0,216000.0,216000.0,504000.0","RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-020"
8070326,m,w,"8248700,8261683,8634012,8109692,8110233","411000.00000000006,411000.00000000006,399000.0,420000.0,420000.0","RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010"
8068031,f,w,"8639881,8987590,8639190,8639683,8639955","332500.0,327500.0,332500.0,332500.0,332500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9961343,m,w,"9114412,8520168,8459768,8459732,8459703","393000.0,405000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"9627673,9788358,9787405,9787406,9787407","1000000.0,984000.0,984000.0,984000.0,984000.0","RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033,RFA-CA-17-033"
9150566,m,w,"10005629,10005011,10596557,10612407,10669134","61500.0,61500.0,51500.0,51500.0,51500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
10478136,m,w,"10573727,10573677,10855076,10571074,10701030","428000.0,428000.0,412000.0,428000.0,412000.0","RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001,RFA-FD-22-001"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","802500.0,802500.0,802500.0,772500.0,772500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8104054,7892343,7892341,7647927,7892460","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
10744343,f,a,"8087578,8087592,8106367,7690912,7688638","576000.0,576000.0,560000.0,584000.0,584000.0","RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020"
10116708,f,w,"9693063,9949782,10147151,10147149,10147148","7330800.0,7330800.0,6913599.999999999,6913599.999999999,6913599.999999999","RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014,RFA-HL-18-014"
9080334,m,w,"8130763,8053125,7715174,7905545,7905549","2880000.0,2880000.0,2920000.0,2920000.0,2920000.0","RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009,RFA-GM-09-009"
7959811,f,h,"8415187,8415736,8415401,8415397,8414504","342500.0,342500.0,342500.0,342500.0,342500.0","RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001,RFA-RM-12-001"
9114017,m,h,"9894714,10134993,10131124,10131127,10131128","615000.0,580000.0,580000.0,580000.0,580000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"9337516,9336368,9206106,9205554,9205852","312500.0,312500.0,327500.0,327500.0,327500.0","RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001,RFA-TR-16-001"
8468754,f,w,"9022512,8604915,9245732,8825531,10426961","3144000.0,3192000.0,3000000.0,3192000.0,556400.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-22-007"
7737637,m,w,"10637036,8468988,8466279,8101889,8106378","721000.0,202500.0,202500.0,210000.0,210000.0","RFA-AI-22-015,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037"
8664703,m,w,"8846947,7878914,7793776,7878899,7878905","3103332.89,3406666.18,3406666.18,3406666.18,3406666.18","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"7848533,8079051,7796669,7869255,7917330","292000.0,350000.0,360000.0,360000.0,360000.0","RFA-NS-07-002,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001,RFA-NS-07-001"
8130689,m,w,"7882658,7884268,8114154,7684744,7687367","360000.0,360000.0,350000.0,365000.0,365000.0","RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
10495240,m,w,"9427971,9620595,9620594,9834825,9842395","500000.0,492000.0,492000.0,492000.0,492000.0","RFA-AI-15-058,RFA-AI-15-058,RFA-AI-15-058,RFA-AI-15-058,RFA-AI-15-058"
9787108,m,w,"9700015,9926786,9904310,9528438,9527729","307500.0,307500.0,307500.0,312500.0,312500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"9767009,9767651,9767649,9767011,9767010","246000.0,246000.0,246000.0,246000.0,246000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
10359813,m,w,"10026287,9861790,7662434,7678381,7666099","369000.0,369000.0,584000.0,584000.0,584000.0","RFA-MH-19-400,RFA-MH-19-400,RFA-DA-05-006,RFA-DA-05-006,RFA-DA-05-006"
9753241,m,w,"8239661,8469045,8727830,8378871,8469041","1680000.0,1620000.0,1620000.0,1644000.0000000002,1620000.0","RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006,RFA-ES-11-006"
