APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biobert_r_wi,APPVAL_RECS_biobert_r_wi,FOA_RECS_biobert_r_wi
9339325,f,h,"8326512,8282018,8281930,8282588,8282267","685000.0,700000.0,700000.0,700000.0,700000.0","RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013,RFA-FD-11-013"
8814164,m,w,"9145039,9146035,9275351,9312738,9729515","982500.0,982500.0,937500.0,937500.0,922500.0","RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024,RFA-AI-15-024"
7924122,f,w,"10215763,10576335,10216086,10369731,10378726","869999.9999999999,772500.0,869999.9999999999,802500.0,802500.0","RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
9672444,f,h,"8388796,8391285,8387978,8390349,8389240","274000.0,274000.0,274000.0,274000.0,274000.0","RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010,RFA-ES-11-010"
8672569,m,w,"8053611,7892997,7892342,7892341,7647927","1080000.0,1095000.0,1095000.0,1095000.0,1095000.0","RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010,RFA-AG-05-010"
9688831,f,w,"8249499,8644280,8644277,8644822,8644275","602800.0,585200.0,585200.0,585200.0,585200.0","RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026,RFA-HD-09-026"
10374944,m,w,"8951636,9115532,9100613,9308668,9307690","532000.0,524000.0,524000.0,500000.0,500000.0","RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012,RFA-AI-14-012"
10208856,m,h,"10089077,10405044,10630286,10256750,9729921","799500.0,695500.0,669500.0,754000.0,312500.0","RFA-DE-20-002,RFA-DE-20-002,RFA-DE-20-002,RFA-DE-20-002,RFA-DE-18-005"
10197904,m,a,"10729390,8813276,9336385,9352415,9081590","618000.0,1330000.0,1310000.0,1310000.0,1310000.0","RFA-DK-22-009,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013"
8520046,m,w,"8659981,8659984,8965940,8965938,8973252","199500.0,199500.0,196500.0,196500.0,196500.0","RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020,RFA-HD-10-020"
