APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_biomedbert_o_w,APPVAL_RECS_biomedbert_o_w,FOA_RECS_biomedbert_o_w
9592088,m,a,"10452743,10456262,10456257,10456258,10205039","802500.0,802500.0,802500.0,802500.0,869999.9999999999","RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005,RFA-DK-17-005"
10008967,m,w,"9320704,9320709,9067249,9067246,9067247","1250000.0,1250000.0,1310000.0,1310000.0,1310000.0","RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021,RFA-AR-13-021"
10134972,f,w,"9319995,9487321,9565687,9320174,9905327","250000.0,250000.0,937500.0,937500.0,922500.0","RFA-MH-17-400,RFA-MH-17-400,RFA-MH-17-405,RFA-MH-17-405,RFA-MH-17-405"
8988958,f,b,"10430120,10176491,9814451,9814449,10176493","749000.0,812000.0,861000.0,861000.0,812000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
8535751,m,w,"10450885,9966987,10655524,10205060,9831543","53500.0,61500.0,51500.0,57999.99999999999,61500.0","RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026,RFA-DK-17-026"
7959773,f,w,"8360471,7959844,7959604,7959603,7959602","280000.0,292000.0,292000.0,292000.0,292000.0","RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001,RFA-RR-06-001"
8769602,m,a,"10621740,9973127,9812691,9812500,9812352","231750.0,276750.0,276750.0,276750.0,276750.0","RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018,RFA-AG-19-018"
10406304,f,w,"10334476,9854277,10088472,10075982,10066310","214000.0,246000.0,232000.0,232000.0,232000.0","RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012,RFA-OD-19-012"
9987453,f,w,"10005109,9811781,9811979,9811955,9985690","92250.0,92250.0,92250.0,92250.0,92250.0","RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021,RFA-AG-19-021"
9525273,m,w,"8526362,8514495,8043231,8043237,8043239","1350000.0,1350000.0,1440000.0,1440000.0,1440000.0","RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022,RFA-AI-09-022"
10541697,m,h,"9592592,9170245,9829593,9830083,9830088","922500.0,982500.0,922500.0,922500.0,922500.0","RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001,RFA-NS-16-001"
8856535,m,w,"10469441,10469447,10624449,10313365,9000120","3745000.0,3605000.0,3605000.0,4060000.0,982500.0","RFA-AI-20-035,RFA-AI-20-035,RFA-AI-20-035,RFA-AI-20-035,RFA-AI-12-007"
7886873,m,w,"7647091,7903222,7883189,7825410,7870330","4380000.0,4320000.0,4320000.0,4320000.0,4320000.0","RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008"
10488630,f,a,"10701771,10514064,9022388,8851500,9471780","515000.0,535000.0,294750.0,299250.0,281250.0","RFA-AG-22-019,RFA-AG-22-019,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
9137625,f,w,"9114398,8528515,9114408,9313381,9114406","393000.0,405000.0,393000.0,393000.0,393000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8085924,m,w,"9193112,9309081,7917227,8090481,8101111","524000.0,500000.0,219000.0,210000.0,210000.0","RFA-MD-15-011,RFA-MD-15-011,RFA-AG-07-005,RFA-AG-07-005,RFA-AG-07-005"
9485284,m,w,"9691126,9485278,9266287,9266290,9691117","20295000.0,20625000.0,20625000.0,20625000.0,20295000.0","RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016,RFA-AI-14-016"
8070326,m,w,"7797564,8104173,7644658,7644663,7644745","432000.0,420000.0,438000.0,438000.0,438000.0","RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001,RFA-AI-08-001"
8068031,f,w,"8110309,8077439,8078122,8327391,8329813","1368000.0,1368000.0,1330000.0,1330000.0,1330000.0","RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003,RFA-MD-06-003"
9961343,m,w,"9320105,8897880,9114721,8899350,9037284","393000.0,399000.0,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
