APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_o_w,APPVAL_RECS_spanbert_o_w,FOA_RECS_spanbert_o_w
9525273,m,w,"10724223,10725051,10731666,10731663,10731282","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038,RFA-AI-22-038"
10541697,m,h,"9352877,9352876,9969202,9971574,9974595","875000.0,875000.0,861000.0,861000.0,861000.0","RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750,RFA-MH-16-750"
8856535,m,w,"8641735,8209570,8448656,8307769,8822937","1330000.0,1400000.0,1350000.0,1370000.0,1330000.0","RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020,RFA-MH-11-020"
7886873,m,w,"8062133,8119174,7876949,7876948,7876947","1440000.0,1440000.0,1460000.0,1460000.0,1460000.0","RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005,RFA-HD-06-005"
10488630,f,a,"9022388,8711845,9471780,9433593,9269130","294750.0,299250.0,281250.0,281250.0,281250.0","RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002,RFA-AG-14-002"
9137625,f,w,"9129494,8730480,8730486,8730499,8730494","196500.0,199500.0,199500.0,199500.0,199500.0","RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008,RFA-FD-12-008"
8085924,m,w,"7674702,7917216,8101110,7917219,8090447","219000.0,219000.0,216000.0,216000.0,216000.0","RFA-AG-07-005,RFA-AG-07-005,RFA-AG-07-005,RFA-AG-07-005,RFA-AG-07-005"
9485284,m,w,"10381666,10559714,10578769,10578773,10629793","535000.0,515000.0,515000.0,515000.0,515000.0","RFA-OD-20-002,RFA-OD-20-002,RFA-OD-20-002,RFA-OD-20-002,RFA-OD-20-002"
8070326,m,w,"7675861,8036025,8036022,8036021,8036020","438000.0,432000.0,432000.0,432000.0,432000.0","RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002,RFA-AI-08-002"
8068031,f,w,"9570704,9693081,9484896,9484495,9484500","1187500.0,1168500.0,1187500.0,1187500.0,1187500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
9961343,m,w,"8454855,8528518,8531129,8520161,8525115","411000.00000000006,405000.0,405000.0,405000.0,405000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"7909664,8020053,8056652,8046419,8045521","584000.0,560000.0,560000.0,560000.0,560000.0","RFA-MD-07-003,RFA-MD-07-003,RFA-MD-07-003,RFA-MD-07-003,RFA-MD-07-003"
9150566,m,w,"9044149,9035943,9313495,9696381,9482420","465500.0,66500.0,250000.0,246000.0,250000.0","RFA-HG-14-006,RFA-LM-15-001,RFA-HG-16-016,RFA-HG-16-016,RFA-HG-16-016"
10478136,m,w,"10682535,10700978,9804361,9804362,9804380","1030000.0,1030000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"9897616,9247816,9870863,9890987,9108584","430500.0,437500.0,430500.0,430500.0,458500.0","RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005,RFA-AI-15-005"
8309064,f,w,"9706080,9514739,9514726,9514736,9514752","1230000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"8087578,8104246,8087592,8288263,7688638","576000.0,560000.0,576000.0,548000.0,584000.0","RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020,RFA-DA-08-020"
10116708,f,w,"10337297,10147155,10641791,10657325,10657623","53500.0,57999.99999999999,51500.0,51500.0,51500.0","RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001,RFA-HL-20-001"
9080334,m,w,"9720189,9959329,10626807,10612118,10612117","615000.0,615000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7959811,f,h,"8359665,8360170,8168489,8102872,7797481","280000.0,280000.0,288000.0,280000.0,288000.0","RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001,RFA-RR-07-001"
9114017,m,h,"8708484,8264667,8304443,8304508,8304429","718200.0,739800.0,739800.0,739800.0,739800.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8381699,8501017,8509018,8509016,8509017","3192100.0000000005,3145500.0,3145500.0,3145500.0,3145500.0","RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002,RFA-RM-09-002"
8468754,f,w,"8653603,8016853,8146167,8319431,8526221","5452998.67,5903998.56,5739998.6,5534998.65,675000.0","RFA-HL-10-008,RFA-HL-10-008,RFA-HL-10-008,RFA-HL-10-008,RFA-HL-10-018"
7737637,m,w,"8089346,8288353,8302429,8089323,8101889","210000.0,205500.00000000003,205500.00000000003,210000.0,210000.0","RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037"
8664703,m,w,"8365006,8838985,7878903,7878912,7878944","3266666.2,3103332.89,3406666.18,3406666.18,3406666.18","RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002,RFA-RM-08-002"
8377171,m,w,"9306213,9736800,9736798,9736797,9736795","1250000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002,RFA-AR-15-002"
8130689,m,w,"7906684,8130682,8121482,8121483,8121484","109500.0,108000.0,108000.0,108000.0,108000.0","RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001,RFA-GM-04-001"
10495240,m,w,"7874550,7874612,7647458,7650379,7647457","1728000.0,1728000.0,1752000.0,1752000.0,1752000.0","RFA-NR-07-003,RFA-NR-07-003,RFA-NR-07-003,RFA-NR-07-003,RFA-NR-07-003"
9787108,m,w,"10153610,9904310,9360740,9360820,9360837","290000.0,307500.0,312500.0,312500.0,312500.0","RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009,RFA-AG-17-009"
8036022,m,w,"7701551,8376123,8377858,8377863,8377864","1460000.0,1370000.0,1370000.0,1370000.0,1370000.0","RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014,RFA-AI-08-014"
10359813,m,w,"8339476,8465277,7744586,8065940,7904165","342500.0,337500.0,365000.0,350000.0,360000.0","RFA-MH-09-080,RFA-MH-09-080,RFA-MH-09-080,RFA-MH-09-080,RFA-MH-09-080"
9753241,m,w,"10059964,10641808,10220974,10220973,10220972","861000.0,721000.0,812000.0,812000.0,812000.0","RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003,RFA-ES-19-003"
8659443,m,w,"10179379,9687700,9687708,9687707,9942433","2030000.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9706081,f,a,"9978595,9172099,9755289,9755283,9755281","1353000.0,1441000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
8698446,m,w,"8712537,7768331,8298979,8289467,8432355","711550.0,781100.0,732950.0,732950.0,732950.0","RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003,RFA-HL-09-003"
9571058,m,h,"9986905,10569075,10569078,10569080,10569082","615000.0,515000.0,515000.0,515000.0,515000.0","RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012,RFA-MD-18-012"
9527838,m,w,"10479040,10479093,10319313,10694859,10689241","401250.0,401250.0,435000.0,386250.0,386250.0","RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003,RFA-AT-21-003"
9994751,m,w,"9323467,9707827,9707838,9709320,9337469","312500.0,307500.0,307500.0,307500.0,312500.0","RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003,RFA-GM-16-003"
10216205,m,w,"10228875,10076809,9921121,10322715,10650136","461250.0,435000.0,461250.0,401250.0,386250.0","RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044,RFA-CA-19-044"
9355575,m,w,"9336090,9193833,9347270,9337386,9347271","250000.0,262000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"10476504,10690625,10683213,10683215,10690008","428000.0,412000.0,412000.0,412000.0,412000.0","RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002,RFA-DK-20-002"
8132845,m,w,"9402661,8991162,9198060,9292382,9201331","500000.0,532000.0,500000.0,500000.0,500000.0","RFA-NS-14-013,RFA-NS-14-013,RFA-NS-14-013,RFA-NS-14-013,RFA-NS-14-013"
9561922,m,w,"10267723,10684730,10117747,10465187,9532567","464000.0,412000.0,492000.0,428000.0,875000.0","RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-20-006,RFA-RM-13-006"
8710052,m,w,"10526102,10526103,10526101,10729388,10525593","1605000.0,1605000.0,1605000.0,1545000.0,1605000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10116392,f,w,"9255144,9671917,9903339,9903343,9903344","2187500.0,2152500.0,2152500.0,2152500.0,2152500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"8913705,9346753,9145291,8911854,9143830","1330000.0,1310000.0,1330000.0,1330000.0,1330000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"8443689,8528887,8150964,8150959,8050225","274000.0,274000.0,280000.0,280000.0,288000.0","RFA-DK-10-001,RFA-DK-10-001,RFA-DK-10-001,RFA-DK-10-001,RFA-DK-10-001"
7691839,f,w,"8149989,8021062,8020738,8149991,7897769","210000.0,216000.0,216000.0,210000.0,360000.0","RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-09-021,RFA-RM-08-008"
7914250,m,w,"8292196,9087856,8111477,8134127,8134128","1507000.0000000002,1463000.0,1584000.0,1584000.0,1584000.0","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"9332089,9544768,8793021,8793020,8793023","9375000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"9206212,9670043,9923509,10003103,10003117","262000.0,246000.0,246000.0,246000.0,246000.0","RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002,RFA-AA-16-002"
10302868,f,w,"10689318,10687131,10704606,10704121,10704119","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027"
8070452,m,w,"8732973,8732979,9269141,9266360,9267443","332500.0,332500.0,312500.0,312500.0,312500.0","RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060,RFA-AI-12-060"
9551105,m,w,"9736812,9194008,9356334,9355254,9355247","1230000.0,1310000.0,1250000.0,1250000.0,1250000.0","RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002,RFA-NS-16-002"
10223141,f,w,"9987505,9514902,9752463,9752464,9947875","1230000.0,1250000.0,1230000.0,1230000.0,1230000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"7568255,7666750,7796711,8105727,8118649","292000.0,292000.0,288000.0,288000.0,288000.0","RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006,RFA-ES-06-006"
9257399,f,w,"9918177,10390324,9687455,9687456,9687457","1230000.0,1070000.0,1230000.0,1230000.0,1230000.0","RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003,RFA-ES-18-003"
8518235,f,w,"8617223,9000120,8794412,9213339,8509163","997500.0,982500.0,997500.0,937500.0,1012500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8318381,m,w,"8969452,8037453,8036735,8307194,8037394","665000.0,720000.0,720000.0,700000.0,720000.0","RFA-HL-14-013,RFA-OD-10-009,RFA-OD-10-009,RFA-OD-10-009,RFA-OD-10-009"
9071539,m,w,"9315836,9698963,9071839,9076109,9069470","937500.0,922500.0,982500.0,982500.0,982500.0","RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002,RFA-GM-16-002"
8120588,m,w,"7982251,8509731,8137234,8322255,8121990","10260000.0,9618750.0,9975000.0,9975000.0,10260000.0","RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006,RFA-HD-09-006"
9548127,m,w,"8894534,8338918,8379379,8379375,8379378","997500.0,1027500.0,1027500.0,1027500.0,1027500.0","RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022,RFA-HD-10-022"
7858033,m,w,"7882483,7874688,7635851,7633315,7883231","4320000.0,4320000.0,4380000.0,4380000.0,4320000.0","RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008,RFA-RM-06-008"
7691735,f,w,"8389405,8501615,8508998,8534229,8387986","376750.00000000006,371250.0,371250.0,371250.0,376750.00000000006","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"8776332,9174040,9195617,9188824,9179553","332500.0,312500.0,312500.0,312500.0,312500.0","RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002,RFA-MD-13-002"
9527152,m,a,"9545258,8927806,9513717,8927904,9059090","468750.0,498750.0,468750.0,498750.0,491250.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10217030,f,w,"10475677,10091568,10092384,10680594,10684692","535000.0,615000.0,615000.0,515000.0,515000.0","RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520,RFA-MH-20-520"
10104482,m,a,"9775234,9755239,9050007,9049750,9550971","615000.0,615000.0,665000.0,665000.0,625000.0","RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019"
8787984,m,w,"8726596,8726593,8726595,9754751,9323274","4322500.0,4322500.0,4322500.0,3997500.0,4062500.0","RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045"
7921782,f,b,"9624983,9810412,9245732,8604915,9022512","153750.0,153750.0,3000000.0,3192000.0,3144000.0","RFA-HL-18-008,RFA-HL-19-027,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013"
9222148,f,w,"8462270,8011394,8281601,8274673,8537637","405000.0,432000.0,411000.00000000006,411000.00000000006,411000.00000000006","RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"10136008,9255140,9919587,9919586,9256998","2030000.0,2187500.0,2152500.0,2152500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9273611,m,w,"8634875,8610989,8719143,8309466,8703637","270000.0,548000.0,532000.0,548000.0,532000.0","RFA-MH-13-140,RFA-RM-10-002,RFA-RM-10-002,RFA-RM-10-002,RFA-RM-10-002"
10480740,m,w,"10063794,10487396,10480902,10480788,10480768","387450.0,337050.0,337050.0,337050.0,337050.0","RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10361543,f,h,"10582229,10576213,10582232,10582231,10582230","772500.0,772500.0,772500.0,772500.0,772500.0","RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026,RFA-DK-21-026"
10241405,m,w,"9989676,9272111,9356351,9768242,9545928","922500.0,982500.0,937500.0,922500.0,937500.0","RFA-NS-16-020,RFA-NS-16-020,RFA-NS-16-020,RFA-NS-16-020,RFA-NS-16-020"
8300031,f,w,"10219354,10683293,9959042,10514944,8662308","628720.0,558260.0,666660.0,579940.0,152950.0","RFA-HL-20-014,RFA-HL-20-014,RFA-HL-20-014,RFA-HL-20-014,RFA-HL-12-013"
9339325,f,h,"10690438,10468056,9933570,10000065,10229332","772500.0,802500.0,922500.0,922500.0,869999.9999999999","RFA-FD-19-019,RFA-FD-19-019,RFA-FD-19-019,RFA-FD-19-019,RFA-FD-19-019"
8814164,m,w,"8277010,8444472,8243502,8814164,8248700","411000.00000000006,405000.0,411000.00000000006,399000.0,411000.00000000006","RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010,RFA-AI-10-010"
7924122,f,w,"9111833,9099685,8512656,8487364,8499254","393000.0,393000.0,405000.0,405000.0,405000.0","RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032,RFA-AI-11-032"
9672444,f,h,"9672408,10146863,10144462,10144463,10144467","1230000.0,1160000.0,1160000.0,1160000.0,1160000.0","RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001"
8672569,m,w,"9267077,8848723,9054066,9054065,9054064","1250000.0,1330000.0,1310000.0,1310000.0,1310000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
9688831,f,w,"8719146,8366605,8552095,8367348,8367345","997500.0,1027500.0,1027500.0,1027500.0,1027500.0","RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003"
10374944,m,w,"10386779,10134239,10134201,10134210,10134212","160500.0,174000.0,174000.0,174000.0,174000.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
10208856,m,h,"9762081,9573392,10454305,9573423,9573420","246000.0,250000.0,267500.0,312500.0,312500.0","RFA-DE-18-006,RFA-DE-18-006,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005"
10197904,m,a,"9459450,9459535,8458584,8473855,8473860","437500.0,437500.0,1687500.0,1687500.0,1687500.0","RFA-DK-17-004,RFA-DK-17-004,RFA-DK-08-008,RFA-DK-08-008,RFA-DK-08-008"
