APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xx_r_wi,APPVAL_RECS_bert-xx_r_wi,FOA_RECS_bert-xx_r_wi
8789173,m,h,"7668680,7671377,8121575,8121576,7906065","584000.0,584000.0,576000.0,576000.0,576000.0","RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002,RFA-MD-07-002"
9527152,m,a,"8904013,8728236,8728858,8598612,8599113","266000.0,266000.0,266000.0,270000.0,270000.0","RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007,RFA-ES-12-007"
10217030,f,w,"7656591,7845561,7885322,7880871,7668578","365000.0,360000.0,360000.0,360000.0,365000.0","RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002,RFA-MH-06-002"
10104482,m,a,"8794412,8617223,9000120,8509163,9213339","997500.0,997500.0,982500.0,1012500.0,937500.0","RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007,RFA-AI-12-007"
8787984,m,w,"10064123,10064608,9444378,9444784,9444681","348000.0,348000.0,375000.0,375000.0,375000.0","RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079,RFA-AI-16-079"
7921782,f,b,"10197193,9180330,9725777,10197188,9747379","522000.0,589500.0,553500.0,522000.0,553500.0","RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010,RFA-HL-16-010"
9222148,f,w,"8690847,8664847,8911400,8011251,8011394","399000.0,399000.0,399000.0,432000.0,432000.0","RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009,RFA-ES-09-009"
9674467,m,w,"9355304,8908677,9043085,8263074,8263110","2358000.0,2394000.0,2358000.0,2466000.0,2466000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9273611,m,w,"10375045,10552045,10375033,10374385,10570855","535000.0,515000.0,535000.0,535000.0,515000.0","RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160,RFA-MH-21-160"
10480740,m,w,"9732317,9123449,9742998,9745313,9747101","387450.0,412650.0,387450.0,387450.0,387450.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"10441448,10176450,9994886,9994888,10117230","802500.0,869999.9999999999,922500.0,922500.0,869999.9999999999","RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001,RFA-DK-17-001"
10241405,m,w,"7690402,7692225,7664567,10487962,10485672","4920200.0,4920200.0,937320.0,749000.0,749000.0","RFA-RM-05-016,RFA-RM-05-016,RFA-RM-05-015,RFA-RM-21-015,RFA-RM-21-015"
8300031,f,w,"9901099,10617940,10017652,10022097,10078364","307500.0,267500.0,307500.0,307500.0,307500.0","RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
9339325,f,h,"9325316,9767589,9543234,9117807,9131679","1250000.0,1230000.0,1250000.0,1330000.0,1310000.0","RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039,RFA-FD-15-039"
8814164,m,w,"10130308,10317124,10128864,10127964,10126937","232000.0,214000.0,232000.0,232000.0,232000.0","RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065"
7924122,f,w,"7626484,7579124,7897749,7777320,7896496","438000.0,438000.0,432000.0,432000.0,432000.0","RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041,RFA-AI-06-041"
9672444,f,h,"10612382,10151666,10382421,10397027,10397054","772500.0,869999.9999999999,802500.0,802500.0,802500.0","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
8672569,m,w,"9973053,9753822,9753815,9753813,9753097","1353000.0,1353000.0,1353000.0,1353000.0,1353000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
9688831,f,w,"7666647,7896707,7847085,7874466,7826600","730000.0,720000.0,365000.0,360000.0,360000.0","RFA-AI-05-029,RFA-AI-05-029,RFA-AG-05-008,RFA-AG-05-008,RFA-AG-05-008"
10374944,m,w,"8960275,9697250,9090018,9089977,9088344","399000.0,369000.0,393000.0,393000.0,393000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
10208856,m,h,"10211467,10352461,10447898,10599976,9455656","232000.0,214000.0,695500.0,669500.0,1562500.0","RFA-DE-20-007,RFA-DE-20-007,RFA-DE-22-001,RFA-DE-22-001,RFA-DE-16-007"
10197904,m,a,"10341087,9246861,10341095,10341097,10533648","347750.0,406250.0,347750.0,347750.0,347750.0","RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013,RFA-RM-15-013"
