APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_spanbert_r_wi,APPVAL_RECS_spanbert_r_wi,FOA_RECS_spanbert_r_wi
8309064,f,w,"9980247,9170767,9171897,9172119,9170763","1353000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018,RFA-AG-16-018"
10744343,f,a,"7691350,8264227,7849076,7851185,8075097","365000.0,342500.0,360000.0,360000.0,350000.0","RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014,RFA-DA-08-014"
10116708,f,w,"9276774,9019498,9276771,9138959,9305130","375000.0,399000.0,375000.0,393000.0,375000.0","RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022,RFA-HL-15-022"
9080334,m,w,"8894408,8479320,8532646,8532647,8475563","532000.0,540000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7959811,f,h,"8112526,7646178,7915369,8207768,8263930","350000.0,365000.0,360000.0,360000.0,350000.0","RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002,RFA-GM-08-002"
9114017,m,h,"10169232,9677591,9687655,9679468,9679467","580000.0,615000.0,615000.0,615000.0,615000.0","RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002,RFA-AI-16-002"
8380038,m,w,"8268769,8916931,8473969,8270470,8269769","685000.0,2660000.0,2700000.0,2740000.0,2740000.0","RFA-RR-11-004,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001"
8468754,f,w,"8825531,9245732,9022512,8604915,7896848","3192000.0,3000000.0,3144000.0,3192000.0,720000.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-06-002"
7737637,m,w,"7919722,7575225,7572911,7609151,7619103","292000.0,292000.0,292000.0,292000.0,292000.0","RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015,RFA-AI-07-015"
8664703,m,w,"7961326,7920762,7936465,7890513,7919758","6935000.0,6935000.0,6935000.0,6935000.0,6935000.0","RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007,RFA-RM-07-007"
8377171,m,w,"8128556,8141266,8141264,8141263,8141262","1440000.0,1440000.0,1440000.0,1440000.0,1440000.0","RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002,RFA-NS-08-002"
8130689,m,w,"7684744,8114154,7884268,7882658,7687367","365000.0,350000.0,360000.0,360000.0,365000.0","RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004,RFA-RM-08-004"
10495240,m,w,"8813609,9211357,8431983,9010966,8607976","664998.67,624998.75,674998.65,654998.6900000001,664998.67","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9787108,m,w,"9291402,8996081,9146268,9695908,9565384","375000.0,399000.0,393000.0,430500.0,437500.0","RFA-AG-15-004,RFA-AG-15-004,RFA-AG-15-004,RFA-AG-17-002,RFA-AG-17-002"
8036022,m,w,"10308532,10126937,10130323,10308509,10130308","214000.0,232000.0,232000.0,214000.0,232000.0","RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065,RFA-AI-19-065"
10359813,m,w,"9609377,9783705,9610195,9609755,10436906","500000.0,492000.0,500000.0,500000.0,428000.0","RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007,RFA-AA-18-007"
9753241,m,w,"8538675,8308849,8308807,8308865,8308098","274000.0,274000.0,274000.0,274000.0,274000.0","RFA-ES-11-008,RFA-ES-11-008,RFA-ES-11-008,RFA-ES-11-008,RFA-ES-11-008"
8659443,m,w,"8229227,8335406,8335408,8514609,8514610","280000.0,274000.0,274000.0,270000.0,270000.0","RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005,RFA-ES-11-005"
9706081,f,a,"10094836,10092367,10677987,10683504,10266124","614998.77,614998.77,534998.93,534998.93,579998.84","RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017,RFA-AG-20-017"
8698446,m,w,"7687500,7688130,7687473,7759104,7900487","292000.0,292000.0,292000.0,292000.0,288000.0","RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010,RFA-HL-05-010"
9571058,m,h,"8773810,9147089,9036284,9068674,9245571","332500.0,332500.0,327500.0,327500.0,312500.0","RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006,RFA-MD-13-006"
9527838,m,w,"7911439,7869504,9744849,9086004,9771778","292000.0,292000.0,1230000.0,1330000.0,1250000.0","RFA-NS-07-004,RFA-NS-07-004,RFA-NS-15-009,RFA-NS-15-009,RFA-NS-15-009"
9994751,m,w,"7681554,7932428,7928795,7939044,7658836","1460000.0,1460000.0,1440000.0,365000.0,365000.0","RFA-GM-06-003,RFA-GM-06-003,RFA-GM-06-003,RFA-RM-07-003,RFA-RM-07-003"
10216205,m,w,"8035156,8338848,8078440,8155178,8325038","280000.0,274000.0,280000.0,280000.0,274000.0","RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001,RFA-CA-10-001"
9355575,m,w,"9193834,9337385,9347270,9336090,9337386","262000.0,250000.0,250000.0,250000.0,250000.0","RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007,RFA-CA-15-007"
8874375,m,w,"8725123,8725122,8725128,8635331,8640159","66500.0,66500.0,66500.0,66500.0,66500.0","RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015,RFA-DK-11-015"
8132845,m,w,"8662921,8803822,8804967,9247855,9234073","465500.0,465500.0,465500.0,437500.0,437500.0","RFA-NS-13-009,RFA-NS-13-009,RFA-NS-13-009,RFA-NS-13-009,RFA-NS-13-009"
9561922,m,w,"8813382,9552803,8927633,8813276,9336385","1596000.0,1250000.0,1330000.0,1330000.0,1310000.0","RFA-DK-13-016,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013,RFA-DK-13-013"
8710052,m,w,"8379331,8711363,8710057,8711365,8710053","4384000.0,4256000.0,4256000.0,4256000.0,4256000.0","RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012,RFA-CA-09-012"
10116392,f,w,"10707927,10698011,10349971,10349970,10349969","1802500.0,1802500.0,1872500.0,1872500.0,1872500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9552433,m,b,"10207716,9969453,9386094,9734121,9557534","428000.0,492000.0,500000.0,492000.0,500000.0","RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017,RFA-RM-16-017"
8907762,m,h,"8323110,8123366,7992052,7992649,7992032","890500.0000000001,910000.0,936000.0,936000.0,936000.0","RFA-DK-09-502,RFA-DK-09-502,RFA-DK-09-502,RFA-DK-09-502,RFA-DK-09-502"
7691839,f,w,"7691833,7691838,7691405,7940507,7893813","292000.0,365000.0,365000.0,365000.0,360000.0","RFA-RM-08-011,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010,RFA-RM-08-010"
7914250,m,w,"9130492,9330326,9087856,9130493,8317544","1463000.0,1441000.0,1463000.0,1463000.0,1507000.0000000002","RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041,RFA-AI-09-041"
8903741,f,w,"9124626,9544766,8793023,8793020,8793021","9825000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"7652453,7681785,7888746,8137313,8094480","365000.0,365000.0,365000.0,350000.0,350000.0","RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020,RFA-AA-07-020"
10302868,f,w,"8555728,8723734,8723735,8554549,8719909","67500.0,66500.0,66500.0,67500.0,66500.0","RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006,RFA-AG-13-006"
8070452,m,w,"7912931,7728635,8013240,8133624,8138725","360000.0,365000.0,360000.0,360000.0,360000.0","RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011,RFA-AI-08-011"
9551105,m,w,"10744965,9321208,9086004,9553870,9771778","1339000.0,1250000.0,1330000.0,1250000.0,1250000.0","RFA-NS-22-030,RFA-NS-15-009,RFA-NS-15-009,RFA-NS-15-009,RFA-NS-15-009"
10223141,f,w,"10205969,9733120,9730350,9730351,9730352","1160000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028,RFA-AI-16-028"
10573185,m,w,"10176493,10646279,10646273,10015284,10015282","812000.0,721000.0,721000.0,861000.0,861000.0","RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013,RFA-ES-18-013"
9257399,f,w,"10626760,10194494,9812381,10006880,10413850","721000.0,812000.0,861000.0,861000.0,749000.0","RFA-ES-18-010,RFA-ES-18-010,RFA-ES-18-010,RFA-ES-18-010,RFA-ES-18-010"
8518235,f,w,"8208321,8306719,8465819,7984404,7984351","280000.0,274000.0,202500.0,216000.0,216000.0","RFA-MH-11-091,RFA-MH-11-091,RFA-AI-09-037,RFA-AI-09-037,RFA-AI-09-037"
8318381,m,w,"8936340,9145709,9145739,8936260,9055778","532000.0,524000.0,524000.0,532000.0,327500.0","RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-EB-14-002,RFA-HL-12-027"
9071539,m,w,"8413975,8414034,8868954,8913107,8693975","1027500.0,1027500.0,997500.0,997500.0,997500.0","RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015,RFA-RM-11-015"
8120588,m,w,"9757795,9563295,8990689,9323489,9105753","1353000.0,1375000.0,1463000.0,1375000.0,1441000.0","RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027,RFA-HD-15-027"
9548127,m,w,"10224300,10682415,10675509,10677569,10677587","928000.0,824000.0,824000.0,824000.0,824000.0","RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016,RFA-HD-20-016"
7858033,m,w,"9955301,9454132,9736785,9564694,10178077","615000.0,625000.0,615000.0,625000.0,580000.0","RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020"
7691735,f,w,"8501615,8508998,8390913,8387986,8389405","371250.0,371250.0,376750.00000000006,376750.00000000006,376750.00000000006","RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205,RFA-HD-12-205"
8789173,m,h,"10707159,10707157,10707340,10707342,10707345","257500.0,257500.0,257500.0,257500.0,257500.0","RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002,RFA-MD-22-002"
9527152,m,a,"9068923,9527152,8927908,9059090,9527124","491250.0,468750.0,498750.0,491250.0,468750.0","RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006,RFA-ES-14-006"
10217030,f,w,"8840557,8840205,8838077,8849417,8825477","665000.0,665000.0,665000.0,665000.0,665000.0","RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001,RFA-DA-11-001"
10104482,m,a,"9755239,9048061,9146883,9147608,9147580","615000.0,665000.0,655000.0,655000.0,655000.0","RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019,RFA-DK-14-019"
8787984,m,w,"8726595,9323280,8909044,8909040,8909045","4322500.0,4062500.0,4322500.0,4322500.0,4322500.0","RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045,RFA-AI-12-045"
7921782,f,b,"10485193,9920772,9948979,9962493,10221262","518950.00000000006,596550.0,596550.0,596550.0,596550.0","RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014,RFA-HL-19-014"
9222148,f,w,"9432540,9222148,8990331,9520291,9537514","250000.0,250000.0,1662500.0,1562500.0,1562500.0","RFA-ES-15-017,RFA-ES-15-017,RFA-ES-14-002,RFA-ES-14-002,RFA-ES-14-002"
9674467,m,w,"8263072,8833285,8289727,8262915,8262911","2466000.0,2394000.0,2466000.0,2466000.0,2466000.0","RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010,RFA-ES-10-010"
9273611,m,w,"8033020,8033452,8033503,8032676,8033641","191999.52,191999.52,191999.52,191999.52,191999.52","RFA-OD-10-003,RFA-OD-10-003,RFA-OD-10-003,RFA-OD-10-003,RFA-OD-10-003"
10480740,m,w,"8724985,9114634,8546440,8383180,8919932","430920.0,424440.0,437400.0,443880.00000000006,430920.0","RFA-HD-12-187,RFA-HD-12-187,RFA-HD-12-187,RFA-HD-12-187,RFA-HD-12-187"
10361543,f,h,"9534661,9313000,9534064,9534066,9311302","937500.0,937500.0,937500.0,937500.0,937500.0","RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019"
10241405,m,w,"8071012,10440015,10656213,7664567,10739074","720000.0,160500.0,154500.0,937320.0,772500.0","RFA-OD-10-012,RFA-TR-21-015,RFA-TR-21-015,RFA-RM-05-015,RFA-EB-22-002"
8300031,f,w,"10480835,10023206,10019473,10019516,10020808","1070000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
9339325,f,h,"10830141,10828192,10830610,10827609,10827782","370800.0,370800.0,370800.0,370800.0,370800.0","RFA-FD-23-019,RFA-FD-23-019,RFA-FD-23-019,RFA-FD-23-019,RFA-FD-23-019"
8814164,m,w,"9180682,9618536,9182868,9823844,9605073","375000.0,369000.0,375000.0,369000.0,369000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"10614996,10378726,10216086,10215763,10214949","772500.0,802500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028,RFA-AI-20-028"
9672444,f,h,"9253395,8482237,9257398,9257400,9253400","1375000.0,1485000.0,1375000.0,1375000.0,1375000.0","RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002"
8672569,m,w,"10035018,10450034,10450036,10458120,10458121","922500.0,802500.0,802500.0,802500.0,802500.0","RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023"
9688831,f,w,"8323541,8136590,7798357,7797821,7796378","602800.0,616000.0,642400.0,642400.0,642400.0","RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014,RFA-HD-08-014"
10374944,m,w,"10379345,10596577,10374846,10181688,10152517","321000.0,309000.0,321000.0,348000.0,348000.0","RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015,RFA-AI-19-015"
10208856,m,h,"10408187,10208856,9573423,9573420,9756189","267500.0,290000.0,312500.0,312500.0,307500.0","RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005,RFA-DE-18-005"
10197904,m,a,"7912360,7899346,9150597,9784805,9567135","1131500.0,1131500.0,353700.0,332100.0,337500.0","RFA-RR-05-003,RFA-RR-05-003,RFA-DK-14-027,RFA-DK-14-027,RFA-DK-14-027"
