APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_distilbert_r_wi,APPVAL_RECS_distilbert_r_wi,FOA_RECS_distilbert_r_wi
7921782,f,b,"10701721,10425505,10474081,10474109,10553878","499550.0,518950.00000000006,518950.00000000006,518950.00000000006,518950.00000000006","RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011,RFA-HL-21-011"
9222148,f,w,"10654005,10669673,10198318,10198235,10198224","772500.0,772500.0,869999.9999999999,869999.9999999999,869999.9999999999","RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009,RFA-ES-20-009"
9674467,m,w,"10690436,10693055,10687986,10687992,10688002","1802500.0,1802500.0,1802500.0,1802500.0,1802500.0","RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014,RFA-ES-20-014"
9273611,m,w,"8337696,8906517,8333365,8336903,8210165","685000.0,665000.0,685000.0,685000.0,685000.0","RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003,RFA-DA-11-003"
10480740,m,w,"9123449,8991747,9521395,9525613,9522828","412650.0,418950.0,393750.0,393750.0,393750.0","RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011,RFA-HD-15-011"
10361543,f,h,"9710668,9534654,9535294,9536006,9536013","922500.0,937500.0,937500.0,937500.0,937500.0","RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019,RFA-DK-16-019"
10241405,m,w,"7674494,7882568,7686102,7912988,7916837","584000.0,576000.0,1460000.0,1440000.0,1440000.0","RFA-HS-07-008,RFA-HS-07-008,RFA-HS-07-004,RFA-HS-07-004,RFA-HS-07-004"
8300031,f,w,"8705391,8526375,8382164,8382162,8381457","532000.0,540000.0,548000.0,548000.0,548000.0","RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010,RFA-AR-11-010"
9339325,f,h,"10827786,10828175,10829008,10828681,10828588","581950.0,581950.0,581950.0,581950.0,581950.0","RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027,RFA-FD-23-027"
8814164,m,w,"9607063,9021315,9186979,9185942,9020493","369000.0,393000.0,375000.0,375000.0,393000.0","RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066,RFA-AI-14-066"
7924122,f,w,"9813820,9221080,9222222,9222102,9221467","369000.0,375000.0,375000.0,375000.0,375000.0","RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054,RFA-AI-15-054"
9672444,f,h,"9672421,9672424,9270974,9270381,9270971","1230000.0,1230000.0,1250000.0,1250000.0,1250000.0","RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001"
8672569,m,w,"10247594,10450033,10450035,10450036,10458120","869999.9999999999,802500.0,802500.0,802500.0,802500.0","RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023,RFA-AG-20-023"
9688831,f,w,"8991654,9349357,9330198,9329447,9325030","465500.0,437500.0,437500.0,437500.0,437500.0","RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001,RFA-OD-15-001"
10374944,m,w,"10378747,9893850,10596565,10131155,9765880","535000.0,615000.0,515000.0,580000.0,615000.0","RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013,RFA-CA-18-013"
10208856,m,h,"10211467,10352461,9762081,9573392,10599976","232000.0,214000.0,246000.0,250000.0,669500.0","RFA-DE-20-007,RFA-DE-20-007,RFA-DE-18-006,RFA-DE-18-006,RFA-DE-22-001"
